journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Communication,https://academic.oup.com/joc/issue/44/4?browseBy=volume,Volume 44,Issue 4,"Issue 4, December 1994, Pages 3–200",December,1994,Symposium: Focus on Latin America,Theory and Practice in Latin American Alternative Communication Research,https://academic.oup.com/joc/article/44/4/53/4160036,10.1111/j.1460-2466.1994.tb00699.x,53–73,,,https://sci-hub.se/10.1111/j.1460-2466.1994.tb00699.x,
Journal of Communication,https://academic.oup.com/joc/issue/33/1?browseBy=volume,Volume 33,Issue 1,"Issue 1, March 1983, Pages 3–224",March,1983,"Computers, Education, and Public Policy",The Turning Point: Telecommunications and Higher Education,https://academic.oup.com/joc/article/33/1/118/4282741,10.1111/j.1460-2466.1983.tb02379.x,118–130,,,https://sci-hub.se/10.1111/j.1460-2466.1983.tb02379.x,
Journal of Communication,https://academic.oup.com/joc/issue/63/1?browseBy=volume,Volume 63,Issue 1,"Issue 1, February 2013, Pages 1–220",February,2013,Original Articles,“1-2-3 Pap” Intervention Improves HPV Vaccine Series Completion Among Appalachian Women,https://academic.oup.com/joc/article/63/1/95/4085975,10.1111/jcom.12001,95–115,"Completion of the Human Papillomavirus (HPV) vaccine series is a national priority. This study not only identified correlates of intent to complete the vaccine series and actual series completion, but also tested the efficacy of a DVD intervention to promote series completion. Women's beliefs that all 3 doses reduced cancer risk predicted intent and completion. Intention predicted completion, as did the belief that having a friend accompany the woman would promote completion. Beyond these effects, women assigned to the intervention were 2.44 times more likely than women in the usual care group to complete the series. Thus, in controlled analyses, a theory-grounded DVD intervention successfully promoted HPV series completion in a community setting. This method of intervention has high translational potential.",1.0,https://sci-hub.se/10.1111/jcom.12001,
Human Communication Research,https://academic.oup.com/hcr/issue/23/4?browseBy=volume,Volume 23,Issue 4,"Issue 4, June 1997, Pages 451–618",June,1997,Articles,The Normative Context of Advice as Social Support,https://academic.oup.com/hcr/article/23/4/454/4564959,10.1111/j.1468-2958.1997.tb00406.x,454–476,"Much of the existing research on social support overlooks the communicative processes that link supportive acts to beneficial effects. The present study represents an alternative approach: The authors document the multiple goals and implications of advice and the situational, conversational, and cultural context far the evaluation of advice among some White, middle-class, U.S. Americans. On the basis of observation of 112 advice episodes and interviews with 18 informants, the authors identify three dilemmas of seeking, receiving, and giving advice: Advice may be seen as helpful and caring or as butting in; advice may be experienced as honest or supportive; and seeking and taking advice may enact respect and gratitude, yet recipients reserve the right to make their own decisions. The identification of these dilemmas provides the basis for future research on the characteristics of more and less effective advice and for comparative research on advice in other speech communities.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1997.tb00406.x,
Journal of Communication,https://academic.oup.com/joc/issue/46/2?browseBy=volume,Volume 46,Issue 2,"Issue 2, June 1996, Pages 3–175",June,1996,Research Articles,Playing Violent Video and Computer Games and Adolescent Self-Concept,https://academic.oup.com/joc/article/46/2/19/4160051,10.1111/j.1460-2466.1996.tb01472.x,19–32,"Adolescents are primary consumers of video and computer games, and the games they prefer are often violent. Related research suggests that exposure to media violence may affect attitudes and behavior. Self-concept is a key indicator of core attitudes and coping abilities, particularly in adolescents. This study documents current adolescent electronic game-playing habits, and explores associations among preference for violent games, frequency and location of play, and self-concept. Multivariate analyses identify marked gender differences in game-playing habits and in scores on the Harter Self-perception Profile for Adolescents. For girls, more time playing video or computer games is associated with lower Harter scores on six subscales, including self-esteem.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1996.tb01472.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/1?browseBy=volume,Volume 12,Issue 1,"Issue 1, 1 October 2006, Pages 1–334",October,2006,Original Article,Managing Impressions in a Virtual Environment: Is Ethnic Diversity a Self-Presentation Strategy for Colleges and Universities?,https://academic.oup.com/jcmc/article/12/1/136/4583001,10.1111/j.1083-6101.2006.00318.x,,"This study examines how institutions of higher education use their websites to present diversity to build relationships and recruit prospective students. It involves a content analysis of the homepages of the 163 institutions that U.S. News named to the 2006 list of the country’s best comprehensive colleges and universities. The results showed that institutions in the West published more religious references and fewer photographs of women than institutions in other regions, and references to international programs were most prevalent in the Midwest. Overall, few institutions mention racial or ethnic diversity on their campuses, although visual representations of diversity in photographs are more common than textual references.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2006.00318.x,
Journal of Communication,https://academic.oup.com/joc/issue/35/3?browseBy=volume,Volume 35,Issue 3,"Issue 3, September 1985, Pages 3–225",September,1985,Article,Cultural Predispositions in Early Photography: The Case of the Holy Land,https://academic.oup.com/joc/article/35/3/32/4282845,10.1111/j.1460-2466.1985.tb02446.x,32–50,,,https://sci-hub.se/10.1111/j.1460-2466.1985.tb02446.x,
Journal of Communication,https://academic.oup.com/joc/issue/24/4?browseBy=volume,Volume 24,Issue 4,"Issue 4, December 1974, Pages 5–170",December,1974,Articles,World Language without Words,https://academic.oup.com/joc/article/24/4/59/4553608,10.1111/j.1460-2466.1974.tb00408.x,59–66,,,https://sci-hub.se/10.1111/j.1460-2466.1974.tb00408.x,
Journal of Communication,https://academic.oup.com/joc/issue/36/4?browseBy=volume,Volume 36,Issue 4,"Issue 4, December 1986, Pages 2–181",December,1986,Article,Regrettable Messages: Things People Wish They Hadn't Said,https://academic.oup.com/joc/article/36/4/40/4282925,10.1111/j.1460-2466.1986.tb01449.x,40–58,,,https://sci-hub.se/10.1111/j.1460-2466.1986.tb01449.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/4/4?browseBy=volume,Volume 4,Issue 4,"Issue 4, December 2011, Pages 333–422",December,2011,Original Articles,Transnational Communications in Action: A Critical Praxis,https://academic.oup.com/ccc/article/4/4/361/4055775,10.1111/j.1753-9137.2011.01112.x,361–381,"This article examines two video-conferences between students in the UK and the United States that illustrate examples of the possibilities of transnational communications as a critical praxis in contemporary university settings. The Trans-Atlantic Classroom project offer theoretical and practical insights into the hands-on uses and perceptions of digital media and communication technologies by culturally diverse student bodies in different locations. At the time and on reflection, we note how this undertaking throws into relief a “disconnect” in the way institutions, academic staff, and students regard the relationship between research excellence, higher learning, and virtual technologies in a digital age. Tracing the project through its genesis, student-led implementation and follow-up in light of critical pedagogy literature and debates about information and communication technologies in learning and teaching, we reflect on what happened as participants left their respective intellectual comfort zones to collaborate with distant others and each other in a computer-mediated scholarly undertaking.",1.0,https://sci-hub.se/10.1111/j.1753-9137.2011.01112.x,
Communication Theory,https://academic.oup.com/ct/issue/3/3?browseBy=volume,Volume 3,Issue 3,"Issue 3, August 1993, Pages 183–275",August,1993,Articles,Semantic Connectivity: An Approach for Analyzing Symbols in Semantic Networks,https://academic.oup.com/ct/article/3/3/183/4430860,10.1111/j.1468-2885.1993.tb00070.x,183–213,"We argue that the notions of “symbol” and “symbolic connectivity” can be rigorously developed both from the point of view of the theoretical literature on the symbol and from the point of view of semantic network theory. The theoretical literature, inspired mainly by the literary metaphor, typically takes interpretive density as the chief dimension underlying symbolic expression. Density measures have also dominated the analysis of semantic networks. There is now a sizeable amount of work on the generation of such networks from linguistic data. The majority of that work locates the network and displays it. When attempts are made to analyze the network, the focus is typically on the density (i.e., the number of links) of particular concepts (which serve as the nodes) within the network and on the inferences that can be made about the communicative prominence of such concepts in light of their density. While density is a useful way of analyzing the communicative “connectivity” of a symbol in a message, it provides only one dimension for analyzing connectivity within a semantic network. In this article we offer two further dimensions — conductivity and consensus — with which to analyze semantic networks for connectivity. We illustrate a typology based on these three dimensions. These dimensions and the associated typology form a useful conceptual device that enables the researcher both to specify and differentiate semantic objects within a rich typology for a given domain of analysis. We show this device at work by applying the dimensions and typology to different communication contexts and by discussing other possible domains where they can be applied.",1.0,https://sci-hub.se/10.1111/j.1468-2885.1993.tb00070.x,
Human Communication Research,https://academic.oup.com/hcr/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, July 2001, Pages 317–465",July,2001,Article,Sociolinguistic Inference and Intercultural Coorientation: A Bayesian Model of Communicative Competence in Intercultural Interaction,https://academic.oup.com/hcr/article/27/3/350/4554745,10.1111/j.1468-2958.2001.tb00785.x,350–381,"We present a model that examines the effects of cultural differences on coorientation (the ability of communicators to accurately encode and interpret the referential and relational meanings of messages). Intercultural coorientation is made problematic by the absence of certain shared communication system knowledge, which in same-culture interactions is used in the dynamic sociolinguistic negotiation of relational rights and obligations. We propose that the process of sociolinguistic negotiation of meanings relies fundamentally on probabilistic inference and have constructed a model based on Bayes' theorem. The model predicts the effects of the communication situation, communicator stereotypes and prejudice, and some other-culture speaker errors on conclusions the receiver draws about the message. Using the model, we distinguish between the ethnocentric error of interpreting a communication in terms of one's own culture and the error of not seeing the communication as diagnostic. Among our predictions are: (a) the less diagnostic the communication, the more impact cultural stereotypes will have on attributions; (b) although evidence of sociolinguistic incompetence sometimes causes misunderstanding, it sometimes prevents misunderstanding; (c) multiple consistent features make intentions clearer than would a single cue, but multiple features violating co-occurrence norms often lead to the attribution of incompetence.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2001.tb00785.x,
Communication Theory,https://academic.oup.com/ct/issue/8/3?browseBy=volume,Volume 8,Issue 3,"Issue 3, 1 August 1998, Pages 245–367",August,1998,Article,Organizational Communication and Cultural Studies: A Review Essay,https://academic.oup.com/ct/article/8/3/337/4210433,10.1111/j.1468-2885.1998.tb00224.x,337–367,,,https://sci-hub.se/10.1111/j.1468-2885.1998.tb00224.x,
Journal of Communication,https://academic.oup.com/joc/issue/28/1?browseBy=volume,Volume 28,Issue 1,"Issue 1, March 1978, Pages 3–224",March,1978,What Does ‘She’ Mean?,Magazine Coverage of Women's Rights,https://academic.oup.com/joc/article/28/1/183/4371824,10.1111/j.1460-2466.1978.tb01583.x,183–186,The 1920s and the 1970s stand out as high points in the fluctuating pattern of print media attention to women's rights.,1.0,https://sci-hub.se/10.1111/j.1460-2466.1978.tb01583.x,
Journal of Communication,https://academic.oup.com/joc/issue/64/4?browseBy=volume,Volume 64,Issue 4,"Issue 4, August 2014, Pages 569–784",August,2014,Original Articles,The New Media Designs of Political Consultants: Campaign Production in a Fragmented Era,https://academic.oup.com/joc/article/64/4/743/4086050,10.1111/jcom.12078,743–763,"New media technologies have been lauded for their potential in de-monopolizing gatekeeper power and rejuvenating democracy. This research inquires into how those changes in the media environment are affecting (and being affected by) consultants involved in the production of political communication. Drawing on dozens of in-depth interviews with these elite operatives, this study highlights how strategies are developed, practices are executed, and messages are encoded given increasing fragmentation and narrowcasting. It examines these consultants' roles in managing the news agenda and political discourse by expanding partisan spaces online for content creation and narrowcasting more nuanced, flexible messages to targeted niches. This study concludes with consideration given to how these efforts might hinder certain public sphere ideals.",1.0,https://sci-hub.se/10.1111/jcom.12078,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/19/1?browseBy=volume,Volume 19,Issue 1,"Issue 1, 1 October 2013, Pages 1–120",October,2013,Original Article,Overcoming the “Ideology of Openness”: Probing the Affordances of Social Media for Organizational Knowledge Sharing,https://academic.oup.com/jcmc/article/19/1/102/4067525,10.1111/jcc4.12034,,"This study explores the ways in which the affordances of social media not only increase open communication and knowledge sharing, but also promote covert behavior, creating dialectical tensions for distributed workers that must be communicatively managed. Drawing on a case study of the engineering division of a distributed high tech start-up, we find our participants navigate tensions in visibility-invisibility, engagement-disengagement, and sharing-control and strategically manage these tensions to preserve both openness and ambiguity. These findings highlight ways in which organizational members limit as well as share knowledge through social media, and the productive role of tensions in enabling them to attend to multiple goals.",1.0,https://sci-hub.se/10.1111/jcc4.12034,
Journal of Communication,https://academic.oup.com/joc/issue/37/3?browseBy=volume,Volume 37,Issue 3,"Issue 3, September 1987, Pages 2–192",September,1987,Communicating Risk: The Media and the Public,How the News Media Reported on Three Mile Island and Chernobyl,https://academic.oup.com/joc/article/37/3/42/4282973,10.1111/j.1460-2466.1987.tb00993.x,42–57,,,https://sci-hub.se/10.1111/j.1460-2466.1987.tb00993.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/3?browseBy=volume,Volume 13,Issue 3,"Issue 3, 1 April 2008, Pages 531–767",April,2008,Original Article,How do people really seek information about others?: Information seeking across Internet and traditional communication channels,https://academic.oup.com/jcmc/article/13/3/751/4583014,10.1111/j.1083-6101.2008.00418.x,,"The present research describes the manner in which individuals use various media in the interpersonal information seeking process. Stephens’ (2007) information and communication technology (ICT) succession theory was applied to an interpersonal information seeking context, and hypotheses and research questions about the channels people use to seek information about others of various relationship to the seeker were offered. Two hundred and twenty-five participants responded to a survey about this topic, and they reported a greater likelihood to seek information about less-known targets using channels where they would be unidentifiable. However, participants reported a greater likelihood to seek information about more-known targets using channels where they would be identifiable. Channels such as social networking websites were frequently reported to be useful regardless of whether the target was well known or less known. Properties of these channels and their implications for interpersonal information seeking as well as theoretical implications of these findings are discussed and directions for future research are examined.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2008.00418.x,
Journal of Communication,https://academic.oup.com/joc/issue/65/1?browseBy=volume,Volume 65,Issue 1,"Issue 1, February 2015, Pages 1–212",February,2015,Original Articles,"Prospect Theory, Discrete Emotions, and Freedom Threats: An Extension of Psychological Reactance Theory",https://academic.oup.com/joc/article/65/1/40/4082318,10.1111/jcom.12134,40–61,"Consistent with earlier research supporting the use of narratives to increase message persuasiveness, this study examined the role of guilt and happiness following exposure to organ donation narratives presented in professionally produced radio ads. As hypothesized, the loss-frame narrative was significantly associated with heightened guilt, which was related to greater freedom threat perceptions and psychological reactance. Conversely, the loss-frame narrative was negatively associated (p = .06) with increased happiness. Contrary to what was hypothesized, reactance was not significantly negatively associated with favorable attitudes toward registering as an organ donor. Instead, freedom threat was directly negatively related to favorable attitudes. Our results are discussed with an emphasis on the theoretical and practical implications.",1.0,https://sci-hub.se/10.1111/jcom.12134,
Journal of Communication,https://academic.oup.com/joc/issue/67/4?browseBy=volume,Volume 67,Issue 4,"Issue 4, August 2017",August,2017,Original Articles,The Deliberative Politics of the Consultative Layer: Participation Hopes and Communication as Design Values of Civic Tech Founders,https://academic.oup.com/joc/article/67/4/445/4642209,10.1111/jcom.12316,445–475,"Drawing from communication as design and the spirit of technology, this study investigated the political values embedded in consultative layer companies, with particular attention to the influence of normative deliberative democratic ideals in tech design. Interviews with the founders of consultative layer tech startups explored (a) founders' visions for their technologies and how they were incorporated, (b) the imagined user groups for these technologies, and (c) expected broader outcomes as a result of using their platforms. Six interrelated themes emerged in the analysis that illuminate ideologies, ideals, and pragmatic considerations embedded in the consultative layer, raising new theoretical and practical questions about the role of communication in understanding this emerging industry and its reimagining of government in the online space.",1.0,https://sci-hub.se/10.1111/jcom.12316,
Communication Theory,https://academic.oup.com/ct/issue/29/3?browseBy=volume,Volume 29,Issue 3,"Issue 3, August 2019, Pages 169–382",August,2019,Original Articles,Theorizing Development of Parasocial Engagement,https://academic.oup.com/ct/article/29/3/297/5248527,10.1093/ct/qty032,297–318,"The article proposes a theoretical model of the development of parasocial relationships (PSRs) building on Knapp’s model of relationship development. Through synthesis of research across disciplines, the model conceptualizes the relational goals and parasocial interactions (PSIs) specific to the PSR. The model identifies variables that predict engagement at that level, describes the stage’s outcomes/effects, and considers the utility of existing measures to assess these stages. The conceptualization of PSRs as a dynamic process rather than intensity of a monolithic experience offers new directions worthy of empirical examination.",1.0,https://sci-hub.se/10.1093/ct/qty032,
Human Communication Research,https://academic.oup.com/hcr/issue/10/4?browseBy=volume,Volume 10,Issue 4,"Issue 4, June 1984, Pages 459–627",June,1984,Articles,Decision-Making Procedure and Decision Quality,https://academic.oup.com/hcr/article/10/4/557/4587803,10.1111/j.1468-2958.1984.tb00032.x,557–574,"Although communication scholars usually have assumed that social interaction is intrinsic to the process of producing good group decisions, some writers have argued that social interaction actually may harm the quality of group decisions. Consequently, several noninteractive group decision-making procedures have been proposed; among these are the staticized group procedure and the nominal group procedure. While some research suggests the effectiveness of these non-interactive procedures, no research has compared directly the effect of staticized, nominal, and interacting decision procedures on the quality of group decisions reached with respect to complex, multistage tasks. The present study provides such a comparison. Reasoning that the open exchange of information, opinions, and criticism is necessary for optimal decision-making on complex tasks, it was hypothesized that groups employing an interacting procedure would produce better decisions than groups employing either staticized or nominal decision procedures. It was hypothesized further that subjects in the interacting condition would produce belter individual decisions than those in either the staticized or nominal conditions. Both of these hypotheses were confirmed. In addition, there was some evidence of an “assembly-effect bonus” among groups in the interacting condition.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1984.tb00032.x,
Journal of Communication,https://academic.oup.com/joc/issue/14/2?browseBy=volume,Volume 14,Issue 2,"Issue 2, June 1964, Pages 59–128",June,1964,Articles,Sequential Psycholinguistics: Introduction,https://academic.oup.com/joc/article/14/2/59/4569043,10.1111/j.1460-2466.1964.tb02349.x,59–65,,,https://sci-hub.se/10.1111/j.1460-2466.1964.tb02349.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/20/3?browseBy=volume,Volume 20,Issue 3,"Issue 3, 1 May 2015, Pages 241–361",May,2015,Original Article,The Double-Edged Sword: The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and Their News Products,https://academic.oup.com/jcmc/article/20/3/312/4067587,10.1111/jcc4.12113,,"As social media become popular news platforms, journalists and news organizations have been keen to capitalize on their potential to build and maintain audiences. However, little is known about the extent to which these efforts may have adverse implications. Based on normative theories, the present study investigates the influence of journalists' social media activities (specifically, self-disclosure and interaction with other users) on audience perceptions of journalists. An experiment (N = 267) revealed that: Although both journalists' self-disclosure and interaction positively influenced audience perceptions of the journalists in the personal dimension, interaction negatively influenced audience perceptions in the professional dimension; and the perceptions transferred to perceptions of news products, thereby mediating the relationship between journalists' social media activities and audience news perceptions.",1.0,https://sci-hub.se/10.1111/jcc4.12113,
Journal of Communication,https://academic.oup.com/joc/issue/25/3?browseBy=volume,Volume 25,Issue 3,"Issue 3, September 1975, Pages 5–224",September,1975,Articles,Public-Access Cable TV: Programming,https://academic.oup.com/joc/article/25/3/15/4553677,10.1111/j.1460-2466.1975.tb00601.x,15–21,,,https://sci-hub.se/10.1111/j.1460-2466.1975.tb00601.x,
Human Communication Research,https://academic.oup.com/hcr/issue/34/4?browseBy=volume,Volume 34,Issue 4,"Issue 4, 1 October 2008, Pages 521–684",October,2008,Original Article,"Parsing the Mechanisms that Increase Relational Intimacy: The Effects of Uncertainty Amount, Open Communication About Uncertainty, and the Reduction of Uncertainty",https://academic.oup.com/hcr/article/34/4/625/4210808,10.1111/j.1468-2958.2008.00335.x,625–654,"This study examined amount of uncertainty, openness of communication about uncertainty, and the uncertainty reduction process as three competing mechanisms that account for increased intimacy in romantic relationships. To test these competing mechanisms, we used multilevel modeling to analyze longitudinal data that were collected from individuals in romantic associations over a 6-week period. Results of separate analyses indicated that the amount of uncertainty was negatively associated with concurrent intimacy and the openness of communication about uncertainty, and decreases in uncertainty were positively associated with subsequent intimacy. When all three predictors were considered simultaneously, the decrease in uncertainty was the only significant predictor of intimacy. These findings highlight the importance of the uncertainty reduction process, rather than low amounts of uncertainty, for increased intimacy.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2008.00335.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/20/5?browseBy=volume,Volume 20,Issue 5,"Issue 5, 1 September 2015, Pages 487–584",September,2015,Original Article,Inspiring and Informing Citizens Online: A Media Richness Analysis of Varied Civic Education Modalities,https://academic.oup.com/jcmc/article/20/5/504/4067579,10.1111/jcc4.12128,,"Public deliberation on the Internet is a promising but unproven practice. Online deliberation can engage large numbers of citizens at relatively low cost, but it is unclear whether such programs have substantial civic impact. One factor in determining their effectiveness may be the communicative features of the online setting in which they occur. Within a Media Richness Theory framework, we conducted a quasiexperiment to assess the civic outcomes of interventions executed online by nonprofit organizations prior to the 2012 U.S. presidential election. The results assess the impact of these interventions on issue knowledge and civic attitudes. Comparisons of the interventions illustrate the importance of considering media richness online, and our discussion considers the theoretical and practical implications of these findings.",1.0,https://sci-hub.se/10.1111/jcc4.12128,
Journal of Communication,https://academic.oup.com/joc/issue/14/3?browseBy=volume,Volume 14,Issue 3,"Issue 3, September 1964, Pages 131–200",September,1964,Articles,Communication Films,https://academic.oup.com/joc/article/14/3/198/4569132,10.1111/j.1460-2466.1964.tb02367.x,198,,,https://sci-hub.se/10.1111/j.1460-2466.1964.tb02367.x,
Journal of Communication,https://academic.oup.com/joc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, September 1977, Pages 3–240",September,1977,Effects of Television,Sex and Violence: Can Research Have It Both Ways?,https://academic.oup.com/joc/article/27/3/176/4553993,10.1111/j.1460-2466.1977.tb02146.x,176–188,,,https://sci-hub.se/10.1111/j.1460-2466.1977.tb02146.x,
Journal of Communication,https://academic.oup.com/joc/issue/34/2?browseBy=volume,Volume 34,Issue 2,"Issue 2, June 1984, Pages 3–240",June,1984,Media Effects on the Young,Teenage Drinking: Does Advertising Make a Difference?,https://academic.oup.com/joc/article/34/2/157/4282795,10.1111/j.1460-2466.1984.tb02167.x,157–167,,,https://sci-hub.se/10.1111/j.1460-2466.1984.tb02167.x,
Human Communication Research,https://academic.oup.com/hcr/issue/24/2?browseBy=volume,Volume 24,Issue 2,"Issue 2, December 1997, Pages 187–360",December,1997,Article,Testing Two Contrasting Structural Models of Innovativeness in a Contractual Network,https://academic.oup.com/hcr/article/24/2/320/4554730,10.1111/j.1468-2958.1997.tb00417.x,320–348,"This study examined contrasting models of the impact of formal and informal structural factors and the communication environment on organizational innovativeness. Specifically, three formal structural variables (decentralization, formalization, and slack resources), two informal structural variables (range and prominence), and two communication environment variables (communication quality and acceptance) are posited to be antecedents of organizational innovativeness. In the traditional model, formal structural impacts are posited to be shaped by informal structure. Conversely, the coexisting model argues that both formal and informal structural variables directly affect the communication environment, which, in turn, shapes perceptions of innovativeness. Data were gathered from self-report questionnaires and network analysis communication logs completed by organizational members (N = 79) of a geographically dispersed government health information agency, the Cancer Information Service (CIS). Tests of the models demonstrate that the coexisting model is clearly superior. These results suggest that the dual role of formal and informal structures needs to be more systematically specified as we focus on innovation in new organizational forms, such as the CIS.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1997.tb00417.x,
Human Communication Research,https://academic.oup.com/hcr/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, September 1986, Pages 3–144",September,1986,Articles,Predicted Outcome Values: Just Now and Then?,https://academic.oup.com/hcr/article/13/1/39/4587680,10.1111/j.1468-2958.1986.tb00094.x,39–40,,,https://sci-hub.se/10.1111/j.1468-2958.1986.tb00094.x,
Communication Theory,https://academic.oup.com/ct/issue/20/4?browseBy=volume,Volume 20,Issue 4,"Issue 4, November 2010, Pages 363–471",November,2010,Original Articles,An Elaboration of the Transformative Approach to Practical Theory: Its Connections with Gadamer's Philosophical Hermeneutics,https://academic.oup.com/ct/article/20/4/405/4085671,10.1111/j.1468-2885.2010.01369.x,405–426,"This article is a response to Communication Theory special issue editor Kevin Barge's (2001) call for “further conversation about practical theorizing.” It provides an elaboration of the transformative approach to practical theory, foregrounding its moral–ethical dimensions. I demonstrate a connection between the stance of the transformative theorists and aspects of H. G. Gadamer's philosophical hermeneutics, primarily a focus on the artful cultivation and development of phronesis, or practical wisdom. Further study of this connection between the transformative theorists and Gadamer will support and extend the future theorization of the transformative approach to practical theory.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2010.01369.x,
Human Communication Research,https://academic.oup.com/hcr/issue/33/3?browseBy=volume,Volume 33,Issue 3,"Issue 3, 1 July 2007, Pages 271–395",July,2007,Original Article,Online Argument between Israeli Jews and Palestinians,https://academic.oup.com/hcr/article/33/3/291/4210723,10.1111/j.1468-2958.2007.00300.x,291–309,"Previous research with face-to-face groups found that majority–minority theory was a better predictor of argument patterns between Israelis and Palestinians than cultural codes theory (D. G. Ellis & I. Maoz, 2002; I. Maoz & D. G. Ellis, 2001). But, because of the difficulties of organizing face-to-face contacts between Israelis and Palestinians (e.g., security, transportation, check points), computer-mediated communication has taken on increased significance. This paper builds on previous research pertaining to argument between Israeli Jews and Palestinians and extends that work by investigating the effects of communication technologies on argument interactions between these two groups. The most notable finding was the absence of complex argumentative structures that are typically associated with conflict resolution.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2007.00300.x,
Communication Theory,https://academic.oup.com/ct/issue/13/2?browseBy=volume,Volume 13,Issue 2,"Issue 2, 1 May 2003, Pages 125–248",May,2003,Article,Using Theory to Design Evaluations of Communication Campaigns: The Case of the National Youth Anti-Drug Media Campaign,https://academic.oup.com/ct/article/13/2/204/4110775,10.1111/j.1468-2885.2003.tb00289.x,204–224,"We present a general theory about how campaigns can have effects and suggest that the evaluation of communication campaigns must be driven by a theory of effects. The National Youth Anti-Drug Media Campaign illustrates both the theory of campaign effects and implications that theory has for the evaluation design. Often models of effect assume that individual exposure affects cognitions that continue to affect behavior over a short term. Contrarily, effects may operate through social or institutional paths as well as through individual learning, require substantial levels of exposure achieved through multiple channels over time, take time to accumulate detectable change, and affect some members of the audience but not others. Responsive evaluations will choose appropriate units of analysis and comparison groups, data collection schedules sensitive to lagged effects, samples able to detect subgroup effects, and analytic strategies consistent with the theory of effects that guides the campaign.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2003.tb00289.x,
Journal of Communication,https://academic.oup.com/joc/issue/37/4?browseBy=volume,Volume 37,Issue 4,"Issue 4, December 1987, Pages 2–174",December,1987,Article,The Three Faces of Ronald Reagan,https://academic.oup.com/joc/article/37/4/7/4282960,10.1111/j.1460-2466.1987.tb01005.x,7–23,,,https://sci-hub.se/10.1111/j.1460-2466.1987.tb01005.x,
Journal of Communication,https://academic.oup.com/joc/issue/42/4?browseBy=volume,Volume 42,Issue 4,"Issue 4, December 1992, Pages 3–208",December,1992,Symposium: Virtual Reality: A Communication Perspective,Cognitive Space: Using Virtual Reality for Large Information Resource Management Problems,https://academic.oup.com/joc/article/42/4/115/4210125,10.1111/j.1460-2466.1992.tb00814.x,115–135,,,https://sci-hub.se/10.1111/j.1460-2466.1992.tb00814.x,
Human Communication Research,https://academic.oup.com/hcr/issue/23/2?browseBy=volume,Volume 23,Issue 2,"Issue 2, December 1996, Pages 155–312",December,1996,Articles,The Role of Source Confusions in Television's Cultivation of Social Reality Judgments,https://academic.oup.com/hcr/article/23/2/278/4564917,10.1111/j.1468-2958.1996.tb00395.x,278–297,The chief hypothesis of this study was that errors in memory (specifically source confusions) contribute to the link between television viewing and social reality judgments. Fiction-to-news confusions (fictional programming remembered as news) were hypothesized to positively predict TV-biased judgments of reality. News-to-fiction confusions (news remembered as fiction) were hypothesized to negatively predict such judgments. The results of an experiment in which subjects watched television programming containing both news and fiction indicated that these hypotheses were supported. Levels of confusion interacted with daily television viewing and with the level of certainty attached to the confusions. A manipulation of the visual similarity of the news and fiction content affected subjects'tendency to make source confusions.,1.0,https://sci-hub.se/10.1111/j.1468-2958.1996.tb00395.x,
Journal of Communication,https://academic.oup.com/joc/issue/54/2?browseBy=volume,Volume 54,Issue 2,"Issue 2, 1 June 2004, Pages 197–384",June,2004,Article,The Processes of Adopting Multimedia and Interactivity in Three Online Newsrooms,https://academic.oup.com/joc/article/54/2/197/4102894,10.1111/j.1460-2466.2004.tb02624.x,197–213,"This article examines the material culture of newsroom practices by focusing on the dynamics of the processes through which news workers adopt new technologies. More specifically, it looks at some key factors that shape the adoption of multimedia and interactive technologies in online newspapers. Through ethnographic case studies of innovations in 3 online newsrooms, I show that variations in organizational structures, work practices, and representations of the users are related to different ways in which members of the newsroom appropriate these technologies. I draw from this analysis to reflect on issues related to the technological dimension of editorial work and the dynamics of media convergence.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2004.tb02624.x,
