journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Communication,https://academic.oup.com/joc/issue/34/1?browseBy=volume,Volume 34,Issue 1,"Issue 1, March 1984, Pages 3–240",March,1984,Article,The NBC Study and Television Violence,https://academic.oup.com/joc/article/34/1/182/4282857,10.1111/j.1460-2466.1984.tb02996.x,182–187,,,https://sci-hub.se/10.1111/j.1460-2466.1984.tb02996.x,
Journal of Communication,https://academic.oup.com/joc/issue/10/2?browseBy=volume,Volume 10,Issue 2,"Issue 2, June 1960, Pages 67–112",June,1960,Articles,The Language Program for Foreign Officers at Air University,https://academic.oup.com/joc/article/10/2/87/4587294,10.1111/j.1460-2466.1960.tb00523.x,87–94,,,https://sci-hub.se/10.1111/j.1460-2466.1960.tb00523.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/22/6?browseBy=volume,Volume 22,Issue 6,"Issue 6, 1 November 2017, Pages 303–379",November,2017,Original Article,Issue Information,https://academic.oup.com/jcmc/article/22/6/I/4675092,10.1111/jcc4.12172,,,,https://sci-hub.se/10.1111/jcc4.12172,
Journal of Communication,https://academic.oup.com/joc/issue/4/4?browseBy=volume,Volume 4,Issue 4,"Issue 4, December 1954, Pages 111–148",December,1954,Articles,The 1954 Convention,https://academic.oup.com/joc/article/4/4/143/4609559,10.1111/j.1460-2466.1954.tb00244.x,143,,,https://sci-hub.se/10.1111/j.1460-2466.1954.tb00244.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/8/1?browseBy=volume,Volume 8,Issue 1,"Issue 1, 1 October 2002",October,2002,Article,"The Effects of Consumer Risk Perception on Pre-purchase Information in Online Auctions: Brand, Word-of-Mouth, and Customized Information",https://academic.oup.com/jcmc/article/8/1/JCMC813/4080398,10.1111/j.1083-6101.2002.tb00160.x,,"This study examines how consumer information processing affects consumers' perception of risk prior to purchase. In particular, this research focuses on pre-purchase information such as brand, word-of-mouth, and customized information. The results show that customized information and word-of-mouth communication influence consumers more than do other types of information from online auctions. Consumers rely on these two factors because they are based on consumer experience and relevant to product purchase. Nevertheless, brand also has a significant effect upon consumer perceived risk. Pre-purchase information processing is directly related to reducing consumers' risk perception. In particular, information processing associated with product performance plays a crucial role in reducing consumers' perceived risk in online transactions. The results offer insights to e-marketers and e-marketing researchers about the role of pre-purchase information in management and e-commerce.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2002.tb00160.x,
Journal of Communication,https://academic.oup.com/joc/issue/48/3?browseBy=volume,Volume 48,Issue 3,"Issue 3, September 1998, Pages 3–170",September,1998,Article,Effects of Talk Show Viewing on Adolescents,https://academic.oup.com/joc/article/48/3/69/4110073,10.1111/j.1460-2466.1998.tb02760.x,69–86,"The authors investigated the effects of talk-show viewing on adolescents social reality beliefs. A survey was administered to 282 high school students to evaluate the following three popular hypotheses about the effects of viewing talk shows: (a) viewers overestimate the frequency of deviant behaviors, (b) viewers become de-sensitized to the suffering of others, and viewers trivialize the importance of social issues. The results provided support for the first hypothesis but not the second. Contrary to the third hypothesis, talk show viewing was positively related, among some age groups, to perceived importance of social issues.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1998.tb02760.x,
Journal of Communication,https://academic.oup.com/joc/issue/49/4?browseBy=volume,Volume 49,Issue 4,"Issue 4, December 1999, Pages 7–230",December,1999,Review Essay,Real Country,https://academic.oup.com/joc/article/49/4/206/4108182,10.1111/j.1460-2466.1999.tb02828.x,206–211,,,https://sci-hub.se/10.1111/j.1460-2466.1999.tb02828.x,
Human Communication Research,https://academic.oup.com/hcr/issue/44/2?browseBy=volume,Volume 44,Issue 2,"Issue 2, April 2018, Pages 103–221",April,2018,Original article,Perceptions of Social Media for Politics: Testing the Slacktivism Hypothesis,https://academic.oup.com/hcr/article/44/2/197/4957051,10.1093/hcr/hqx008,197–221,"Americans’ views of political activity on social media range from exuberant to exasperated. But do perceptions of social media actually influence citizens’ online and offline political behaviors as suggested by the so-called “Slacktivism hypothesis?” In the present study, we undertake a more careful examination of this question by testing a theoretical model in which perceiving participation on social media as an easy or impactful means of engaging in politics encourages political expression on social media, which in turn increases offline political participation. Using panel survey data collected during the 2016 U.S. presidential election, we show that positive perceptions of social media indirectly increase offline political participation, through the influence of political expression on social media. However, we find no such positive indirect effects for those with politically diverse networks or for younger people. Implications for reconceptualizing the relationship between perceptions of social media and political participation are discussed.",1.0,https://sci-hub.se/10.1093/hcr/hqx008,
Journal of Communication,https://academic.oup.com/joc/issue/7/3?browseBy=volume,Volume 7,Issue 3,"Issue 3, September 1957, Pages 103–148",September,1957,Articles,Brainstorminga—A Creative Problem-Solving Technique,https://academic.oup.com/joc/article/7/3/111/4609662,10.1111/j.1460-2466.1957.tb00267.x,111–118,,,https://sci-hub.se/10.1111/j.1460-2466.1957.tb00267.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, 1 October 2007, Pages 1–380",October,2007,Original Article,The Creative Commons and Copyright Protection in the Digital Era: Uses of Creative Commons Licenses,https://academic.oup.com/jcmc/article/13/1/187/4583060,10.1111/j.1083-6101.2007.00392.x,,"As digital technology thrusts complexity upon copyright law, conflict has escalated between copyright holders desperate to institute a vigorous enforcement mechanism against copying in order to protect their ownership and others who underscore the importance of public interests in accessing and using copyrighted works. This study explores whether Creative Commons (CC) licenses are a viable solution for copyright protection in the digital era. Through a mixed-methods approach involving a web-based survey of CC licensors, a content analysis of CC-licensed works, and interviews, the study characterizes CC licensors, the ways that CC licensors produce creative works, the private interests that CC licenses serve, and the public interests that CC licenses serve. The findings suggest that the Creative Commons can alleviate some of the problems caused by the copyright conflict.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2007.00392.x,
Journal of Communication,https://academic.oup.com/joc/issue/45/4?browseBy=volume,Volume 45,Issue 4,"Issue 4, December 1995, Pages 3–181",December,1995,Symposium: Horizons of the State: Information Policy and Power,Horizons of the State: Information Policy and Power,https://academic.oup.com/joc/article/45/4/4/4160206,10.1111/j.1460-2466.1995.tb00752.x,4–24,,,https://sci-hub.se/10.1111/j.1460-2466.1995.tb00752.x,
Journal of Communication,https://academic.oup.com/joc/issue/64/6?browseBy=volume,Volume 64,Issue 6,"Issue 6, December 2014, Pages 999–1180",December,2014,Original Articles,A Critical Analysis of Cultivation Theory,https://academic.oup.com/joc/article/64/6/1015/4086021,10.1111/jcom.12128,1015–1036,"This critical analysis of the ""cultivation"" literature reveals 3 conceptions of the term: (a) George Gerbner's macrosystem explanation of mass media processes and effects, (b) a pattern of operational practices that searches for relationships between television exposure and a wide range of cultivation indicators, and (c) a general forum of explorations of media influence where researchers break away from Gerbner's conceptualizations and boundaries. Using the criteria of heuristic value, empirical support, and precision, this essay evaluates the contribution this large cultivation literature has made to increasing our understanding of the mass media.",1.0,https://sci-hub.se/10.1111/jcom.12128,
Journal of Communication,https://academic.oup.com/joc/issue/23/4?browseBy=volume,Volume 23,Issue 4,"Issue 4, December 1973, Pages 348–478",December,1973,Articles,Interpersonal Discussion: A Critical Predictor of Leisure Activity,https://academic.oup.com/joc/article/23/4/426/4553548,10.1111/j.1460-2466.1973.tb00959.x,426–445,"This study develops the most efficient predictor sets for the leisure activities of 363 tenth grade teenagers from four high schools in Santa Clara County, California. The results indicate that media play a relatively small part in teenage lives. Interpersonal discussion is a major component of almost all teenage leisure behavior. Different cognitive styles predict different behavior: intelligence correlates highly with print consumption while creativity is strongly associated with non-media pursuits (e.g., clubs and hobbies). Socio-economic variables are less powerful in prediction equations than the interrelationship of all measured leisure time activities. As much as 40 percent of the variance is explained in a leisure activity, but refinement of communication measures, validation of predictive relationshpis, and longitudinal extension of the study design are recommended.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1973.tb00959.x,
Journal of Communication,https://academic.oup.com/joc/issue/21/3?browseBy=volume,Volume 21,Issue 3,"Issue 3, September 1971, Pages 198–309",September,1971,Articles,Intra-Audience Effects: Observable Audience Response,https://academic.oup.com/joc/article/21/3/253/4561010,10.1111/j.1460-2466.1971.tb00922.x,253–265,"Feedback has usually been viewed as a receiver-source loop or interaction. A process view of communication implies consideration of intra-audience interaction. Such consideration resulted in the conceptualization of a receiver-receiver loop that was designated observable audience response. A three treatment experiment was designed to test hypotheses that observable audience response would change attitudes toward a message topic and a speaker. Two treatments consisted of conditions in which coached confederates supplied either positive or negative feedback during the presentation of a message; in the third no effort was made to manipulate response. Although some individual hypotheses were not supported at the .05 criterion set, the overall results supplied evidence supporting the major predictions of the study.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1971.tb00922.x,
Human Communication Research,https://academic.oup.com/hcr/issue/5/3?browseBy=volume,Volume 5,Issue 3,"Issue 3, March 1979, Pages 195–285",March,1979,Articles,Self-Disclosure as a Relationship Disengagement Strategy: An Exploratory Investigation,https://academic.oup.com/hcr/article/5/3/215/4626720,10.1111/j.1468-2958.1979.tb00635.x,215–222,"Interactants are strategic goal seekers in their interpersonal communication. However, to date, research has concentrated almost exclusively on the communicative strategies by which actors achieve a goal of relationship initiation. Relationship disengagement occupies an important motivational force, as well. This study initiated exploration of the communicative strategies by which actors disengage their relationships, focusing in particular on the verbal strategy of self-disclosure. Undergraduate volunteers were exposed to one of four hypothetical scenarios: Respondent Intent (Maintain or Disengage) and Other's Intent (Maintain or Disengage). Twenty Likert-type items of willingness to self-disclose on a variety of topics constituted the dependent measures and were clustered into three primary factors. Multivariate analysis of variance revealed that respondents were less willing to self-disclose when they desired to disengage the relationship.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1979.tb00635.x,
Human Communication Research,https://academic.oup.com/hcr/issue/39/1?browseBy=volume,Volume 39,Issue 1,"Issue 1, 1 January 2013, Pages 1–155",January,2013,Original Article,Dyadic Power Profiles: Power-Contingent Strategies for Value Creation in Negotiation,https://academic.oup.com/hcr/article/39/1/3/4093669,10.1111/j.1468-2958.2012.01440.x,3–20,"Using a simulated employment negotiation, we tested the conditional relationships among dyadic power profiles (symmetric high, symmetric low, and asymmetric), the choice and sequencing of strategies, and value creation. We showed that negotiators in symmetric high, symmetric low, and asymmetric power dyads took distinctly different paths to value creation. Value creation was associated with increased mutual accommodation in high-power dyads but with increased contentiousness in low-power dyads. Asymmetric power dyads maximized value creation when they adopted a neutral stance, neither overusing nor underusing any one strategy. Although strategy use was a better predictor of value creation than strategy sequencing, sequences played an increasingly important role in value creation as the level of total power within the negotiation increased.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2012.01440.x,
Journal of Communication,https://academic.oup.com/joc/issue/43/3?browseBy=volume,Volume 43,Issue 3,"Issue 3, September 1993, Pages 4–238",September,1993,Connecting Communication Scholarship to Public Policy,A Policy Research Paradigm for the News Media and Democracy,https://academic.oup.com/joc/article/43/3/180/4160041,10.1111/j.1460-2466.1993.tb01291.x,180–189,,,https://sci-hub.se/10.1111/j.1460-2466.1993.tb01291.x,
Journal of Communication,https://academic.oup.com/joc/issue/71/1?browseBy=volume,Volume 71,Issue 1,"Issue 1, February 2021, Pages 1–161",February,2021,Original Articles,Social Media Use and Adolescents’ Self-Esteem: Heading for a Person-Specific Media Effects Paradigm,https://academic.oup.com/joc/article/71/1/56/6124731,10.1093/joc/jqaa039,56–78,"Eighteen earlier studies have investigated the associations between social media use (SMU) and adolescents’ self-esteem, finding weak effects and inconsistent results. A viable hypothesis for these mixed findings is that the effect of SMU differs from adolescent to adolescent. To test this hypothesis, we conducted a preregistered three-week experience sampling study among 387 adolescents (13–15 years, 54% girls). Each adolescent reported on his/her SMU and self-esteem six times per day (126 assessments per participant; 34,930 in total). Using a person-specific, N = 1 method of analysis (Dynamic Structural Equation Modeling), we found that the majority of adolescents (88%) experienced no or very small effects of SMU on self-esteem (−.10 < β < .10), whereas 4% experienced positive (.10 ≤ β ≤ .17) and 8% negative effects (−.21 ≤ β ≤ −.10). Our results suggest that person-specific effects can no longer be ignored in future media effects theories and research.",1.0,https://sci-hub.se/10.1093/joc/jqaa039,
Journal of Communication,https://academic.oup.com/joc/issue/69/3?browseBy=volume,Volume 69,Issue 3,"Issue 3, June 2019, Pages 237–343",June,2019,Original articles,The Relationship Between Interdisciplinarity and Journal Impact Factor in the Field of Communication During 1997–2016,https://academic.oup.com/joc/article/69/3/273/5426454,10.1093/joc/jqz012,273–297,"Some scholars argue that interdisciplinarity is a virtue for scholarship and impact, but others contend that interdisciplinarity undermines the development of core knowledge. This study examines 93 communication journals in the Social Science Citation Index, investigating their patterns of citing and being cited by other disciplines between 1997 and 2016. The analysis reveals that the percentages of issued and received out-field citations have remained stable—at around 60% and 51%, respectively—over the 20 years. Interdisciplinary citations are dominated by a few subjects—especially the founding disciplines of communication—and the social sciences receive four times more citations than the natural sciences. There was a significant decline in the dominance of psychological sciences, the long-lasting closest neighbor of communication. Citing highly interdisciplinary disciplines beyond the social sciences increases the journal citation impact more than citing other fields, while citing the founding disciplines hardly improves this indicator and the role of in-field citation is minimal.",1.0,https://sci-hub.se/10.1093/joc/jqz012,
Journal of Communication,https://academic.oup.com/joc/issue/25/1?browseBy=volume,Volume 25,Issue 1,"Issue 1, March 1975, Pages 5–240",March,1975,Paranormal Communication,Building Experimental Models,https://academic.oup.com/joc/article/25/1/117/4553689,10.1111/j.1460-2466.1975.tb00561.x,117–125,,,https://sci-hub.se/10.1111/j.1460-2466.1975.tb00561.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/4/3?browseBy=volume,Volume 4,Issue 3,"Issue 3, September 2011, Pages 209–332",September,2011,Original Articles,Reflexivity in Television Depictions of Media Industries: Peeking Behind the Gilt Curtain,https://academic.oup.com/ccc/article/4/3/296/4054377,10.1111/j.1753-9137.2011.01103.x,296–313,"This study considers whether television shows depicting the media industries are reflexive about the challenges currently facing traditional media. It draws upon a multimethod qualitative analysis of five series—30 Rock, Entourage, Mad Men, Studio 60 on the Sunset Strip, and Ugly Betty—to investigate whether reflexivity constitutes an attempt to safeguard these industries' mythical place at the “mediated center.” We argue that reflexivity elucidates these shows in 3 ways: via textual reflexivity (within the shows themselves); producer reflexivity (as articulated by the production staff); and research reflexivity (how we, as researchers, engage with the data and their contradictions). We conclude, however, that reflexivity is used to inoculate these representations from highlighting the very real threats facing traditional media industries.",1.0,https://sci-hub.se/10.1111/j.1753-9137.2011.01103.x,
Journal of Communication,https://academic.oup.com/joc/issue/31/4?browseBy=volume,Volume 31,Issue 4,"Issue 4, December 1981, Pages 3–222",December,1981,Colloquy,An exchange on advertising …the rhetoric of rationalism,https://academic.oup.com/joc/article/31/4/218/4372044,10.1111/j.1460-2466.1981.tb00468.x,218–219,,,https://sci-hub.se/10.1111/j.1460-2466.1981.tb00468.x,
Journal of Communication,https://academic.oup.com/joc/issue/53/3?browseBy=volume,Volume 53,Issue 3,"Issue 3, 1 September 2003, Pages 395–564",September,2003,Research Articles,Associations Between Message Features and Subjective Evaluations of the Sensation Value of Antidrug Public Service Announcements,https://academic.oup.com/joc/article/53/3/512/4102972,10.1111/j.1460-2466.2003.tb02605.x,512–526,"The effective targeting of high sensation-seeking adolescents, who are most at risk for drug abuse, requires the creation of high sensation value messages. Whereas previous research has focused on subjective reactions of receivers as the primary way to define message sensation value (MSV), we conceptualize message sensation value as the formal and content features (audio, visual, and format) of a message that contribute to subjective message sensation evaluations. The three objectives of this study were (a) to identify message design features that would aid in the development of effective prevention messages targeting high sensation seekers, (b) to develop an objective measure of message sensation value based on formal and content features of messages, and (c) to determine whether high message sensation value messages were associated with higher subjective evaluations of message sensation value. In the present study, 418 undergraduates each viewed 10 PSAs selected at random from a pool of 109 PSAs that had been previously coded for message sensation value. Analyses provide support for the central hypothesis of the study, indicating that perceived message sensation value is at least in part a product of the formal and content features of a PSA.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2003.tb02605.x,
Journal of Communication,https://academic.oup.com/joc/issue/65/4?browseBy=volume,Volume 65,Issue 4,"Issue 4, August 2015, Pages 585–719",August,2015,Original Articles,"Emotions, Partisanship, and Misperceptions: How Anger and Anxiety Moderate the Effect of Partisan Bias on Susceptibility to Political Misinformation",https://academic.oup.com/joc/article/65/4/699/4082338,10.1111/jcom.12164,699–719,"Citizens are frequently misinformed about political issues and candidates but the circumstances under which inaccurate beliefs emerge are not fully understood. This experimental study demonstrates that the independent experience of two emotions, anger and anxiety, in part determines whether citizens consider misinformation in a partisan or open-minded fashion. Anger encourages partisan, motivated evaluation of uncorrected misinformation that results in beliefs consistent with the supported political party, while anxiety at times promotes initial beliefs based less on partisanship and more on the information environment. However, exposure to corrections improves belief accuracy, regardless of emotion or partisanship. The results indicate that the unique experience of anger and anxiety can affect the accuracy of political beliefs by strengthening or attenuating the influence of partisanship.",1.0,https://sci-hub.se/10.1111/jcom.12164,
Journal of Communication,https://academic.oup.com/joc/issue/61/4?browseBy=volume,Volume 61,Issue 4,"Issue 4, August 2011, Pages 557–794",August,2011,Original Articles,The Coevolution of Multiplex Communication Networks in Organizational Communities,https://academic.oup.com/joc/article/61/4/758/4098580,10.1111/j.1460-2466.2011.01566.x,758–779,"This research examines the evolutionary patterns and determinants of multiplex organizational communication networks. Based on the data between 1997 and 2005 collected from the records of development projects in the field of Information and Communication Technology for Development, the study demonstrates that dynamics in one network are significant drivers of tie formation in the other network at both dyadic and triadic levels. In particular, results show that the effects of common third-party ties and structural embeddedness exist across multiplex networks. Further, the study suggests that resource similarity of organizational dyads, resource width, and organizational centrality have positive effects on the propensity for multiplex ties. These results have implications for organizations' communication networking strategies in a wide variety of organizational communities.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2011.01566.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/9/2?browseBy=volume,Volume 9,Issue 2,"Issue 2, 1 January 2004",January,2004,Original Article,How Attitude toward the Web Site Influences Consumer Brand Choice and Confidence While Shopping Online,https://academic.oup.com/jcmc/article/9/2/JCMC923/4614454,10.1111/j.1083-6101.2004.tb00282.x,,"As more and more consumers spend more money on the Internet, traditional retailers and manufacturers as well as entrepreneurial dot-coms are jousting to explore and shape this new business opportunity. Their long-term survival and profitability may be determined by how well the Web site helps form and sustain positive attitudes toward the site and, eventually, toward the product or the company. The purpose of this study is two-fold: (1) to examine if and how attitude toward the Web site (Ast) affects consumer brand choice; and (2) to examine the association between Ast and consumers' confidence in choice, and the moderating effect of consumer product knowledge in its relationship. The study asked participants to choose a laptop brand after visiting three laptop manufacturer Web sites for a total of 30 minutes. Their product knowledge and attitude toward the three Web sites were also measured. The study found that attitude toward the Web site is a good predictor of consumer brand choice. In addition, confidence in choice seemed to be affected by Ast, depending on product knowledge. For a group with low product knowledge (novices), Ast was likely to influence confidence in choice. For a group with high product knowledge (experts), however, Ast did not seem to affect confidence in choice.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2004.tb00282.x,
Communication Theory,https://academic.oup.com/ct/issue/14/4?browseBy=volume,Volume 14,Issue 4,"Issue 4, 1 November 2004, Pages 285–408",November,2004,Article,"Toward an Explication of Media Enjoyment: The Synergy of Social Norms, Viewing Situations, and Program Content",https://academic.oup.com/ct/article/14/4/370/4110463,10.1111/j.1468-2885.2004.tb00320.x,370–387,"In studying media enjoyment, communication scholars have assumed a measurable, internally valid relationship between program content and viewer response. Drawing on literature from sport and social psychology in addition to communication, this article posits that media enjoyment reflects a coalescence of 3 factors: (a) social norms, (b) viewing situations, and (c) program content. The article explores this conceptualization with televised football as a content source, social norms that reflect hegemonic masculinity, and a viewing situation in which audience members are part of a homogenous social group. Drawing on uses and gratifications, social identity, disposition, and uncertainty reduction theories, the article suggests that social norms and viewing situations are ultimately as central to enjoyment as content is.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2004.tb00320.x,
Human Communication Research,https://academic.oup.com/hcr/issue/23/1?browseBy=volume,Volume 23,Issue 1,"Issue 1, September 1996, Pages 3–146",September,1996,Articles,Priming Prejudice: How Stereotypes and Counter-Stereotypes Influence Attribution of Responsibility and Credibility among Ingroups and Outgroups,https://academic.oup.com/hcr/article/23/1/36/4564964,10.1111/j.1468-2958.1996.tb00386.x,36–58,"The research examines the effect of priming negative stereotypic and positive counter-stereotypic portrayals of African Americans (Study 1) and women (Study 2) on interpretations of actual media events. A counter-stereotypic portrayal of an African American male led participants to subsequently make more external or situational attributions of responsibility to other African American males involved in unrelated media events (i.e., Rodney King and Magic Johnson), whereas stereotypic portrayals led to more internal or personal attributions. Similarly, a counter-stereotypic portrayal of a female tended to increase the perceived credibility of females involved in unrelated media events (i.e., the Anita Hill/Clarence Thomas hearings and the William Kennedy Smith/Patricia Bowman rape trial) whereas stereotypic portrayals decreased their perceived credibility. Study 2 also revealed an ingroup-outgroup bias in the interpretation of media events, with females tending to be more sympathetic toward other females. Implications of these findings are discussed and suggestions made for future research.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1996.tb00386.x,
Journal of Communication,https://academic.oup.com/joc/issue/48/3?browseBy=volume,Volume 48,Issue 3,"Issue 3, September 1998, Pages 3–170",September,1998,Article,Cross-Cultural Comparison of Organizational Media Evaluation and Choice,https://academic.oup.com/joc/article/48/3/3/4108128,10.1111/j.1460-2466.1998.tb02757.x,3–26,"Managers working in four countries reported the richness of five media, equivocality of 11 situations, preferred media for each situation, and cultural values. The richness and equivocality measures were reliable and unidimensional. Face-to-face was ranked as most, and business memos least, rich. Only E-mail and telephone preferences were significantly correlated with richness. Media preferences for face-to-face and telephone for each situation were highly correlated with the situations' equivocality. Respondents from collectivist countries rated the telephone as less rich, and the business memo as richer, than did respondents from individualist countries.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1998.tb02757.x,
Journal of Communication,https://academic.oup.com/joc/issue/62/2?browseBy=volume,Volume 62,Issue 2,"Issue 2, April 2012, Pages 195–379",April,2012,Original Articles,Networked Authoritarianism and Social Media in Azerbaijan,https://academic.oup.com/joc/article/62/2/283/4085803,10.1111/j.1460-2466.2012.01633.x,283–298,"The diffusion of digital media does not always have democratic consequences. This mixed-methods study examines how the government of Azerbaijan dissuaded Internet users from political activism. We examine how digital media were used for networked authoritarianism, a form of Internet control common in former Soviet states where manipulation over digitally mediated social networks is used more than outright censorship. Through a content analysis of 3 years of Azerbaijani media, a 2-year structural equation model of the relationship between Internet use and attitudes toward protest, and interviews with Azerbaijani online activists, we find that the government has successfully dissuaded frequent Internet users from supporting protest and average Internet users from using social media for political purposes.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2012.01633.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/21/6?browseBy=volume,Volume 21,Issue 6,"Issue 6, 1 November 2016, Pages 399–466",November,2016,Original Article,Media Niche of Electronic Communication Channels in Friendship: A Meta-Analysis,https://academic.oup.com/jcmc/article/21/6/451/4161803,10.1111/jcc4.12175,,"The current landscape of communication technologies is characterized by a wide variety of choices. As each medium provides different affordances, each may occupy a different niche and be used in different relationships. Drawing on the theory of the niche, we did a meta-analysis involving 27 effect sizes from 22 independent samples to test the correlation between media selection/use and friendship closeness. Results showed that the 5 communication channels filled 2 different friendship closeness niches. Mobile phone calls and texting had stronger positive correlations with friendship closeness than instant messaging, social network sites, and online gaming. Culture, but not gender, moderated some of these correlations: Friendship closeness had a stronger positive association with SNS use and online gaming in collectivist cultures.",1.0,https://sci-hub.se/10.1111/jcc4.12175,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/4/1?browseBy=volume,Volume 4,Issue 1,"Issue 1, 1 March 2011, Pages 1–120",March,2011,Original Articles,“Hope Is Finally Making a Comeback”: First Lady Reframed,https://academic.oup.com/ccc/article/4/1/56/3952769,10.1111/j.1753-9137.2010.01093.x,56–77,"This article, framed epistemologically and politically by women of color theory, examines Michelle Obama's response to her racist and sexist treatment in the mainstream U.S. media's coverage of the 2008 presidential election campaign. I argue that Obama uses the very tools of postidentity, a conservative ideology that promotes the fiction that the country has arrived at an “after” moment of racism and sexism, to argue against postidentity, a safe manner to engage in racism and misogyny in the 21st century. Understanding Michelle Obama's speaking back to postidentity ideology provides minoritized 21st century subjects with a means to understand how power, privilege, racialized and gendered discrimination, and resistance function in the new millennium United States.",1.0,https://sci-hub.se/10.1111/j.1753-9137.2010.01093.x,
Journal of Communication,https://academic.oup.com/joc/issue/56/1?browseBy=volume,Volume 56,Issue 1,"Issue 1, March 2006, Pages 1–234",March,2006,Research Articles,"Naturalizing Racial Differences Through Comedy: Asian, Black, and White Views on Racial Stereotypes in Rush Hour 2",https://academic.oup.com/joc/article/56/1/157/4102589,10.1111/j.1460-2466.2006.00008.x,157–177,"In this paper, we examine the ideological implications of racial stereotypes in comedy through a textual and audience analysis of Rush Hour 2. Although Asian, Black, and White focus group participants differentially engaged with racial stereotypes in the film, most participants, regardless of race, found the film's racial jokes inoffensive. Many Asian and Black participants found a positive source of pleasure in the negative portrayals of their own race and did not produce oppositional discourse. Our study suggests that the generic conventions and textual devices of comedy encourage the audience to naturalize racial differences rather than to challenge racial stereotypes.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2006.00008.x,
Communication Theory,https://academic.oup.com/ct/issue/22/1?browseBy=volume,Volume 22,Issue 1,"Issue 1, February 2012, Pages 1–111",February,2012,Original Articles,Reframing the Past as a Cosmopolitan Memory: Obituaries in the Israeli Daily Haaretz,https://academic.oup.com/ct/article/22/1/48/4085698,10.1111/j.1468-2885.2011.01397.x,48–65,"The global era presents a challenge for all memory agents for they are now faced with the task of constructing collective memories that maintain new contemporary values, most notably sensitivity to other nations' memories. This article deals with a major question flowing from the aforementioned task: Is it possible to reframe the past as a “cosmopolitan memory” for the purpose of promoting solidarity and peace? The article provides preliminary evidence of what can be called a “cosmopolitan turn” in collective memory construction, together with suggestions regarding the associated research lexicon. Through analysis of the obituaries published in the elite Israeli daily Haaretz, it illustrates some of the discursive strategies to be used to reframe the past as a cosmopolitan memory.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2011.01397.x,
Journal of Communication,https://academic.oup.com/joc/issue/51/3?browseBy=volume,Volume 51,Issue 3,"Issue 3, September 2001, Pages 453–629",September,2001,Article,Communication and Uncertainty Management,https://academic.oup.com/joc/article/51/3/477/4110005,10.1111/j.1460-2466.2001.tb02892.x,477–497,"The fundamental challenge for refining theories of communication and uncertainty is to abandon the assumption that uncertainty will produce anxiety. To better explain processes of communication and uncertainty management, we must answer questions about (a) the experience and meaning of uncertainty, (b) the role of appraisal and emotion in uncertainty management, and (c) the range of behavioral and psychological responses to uncertainty. This paper outlines and extends a theory of uncertainty management and reviews current theory and research in this area. In addition to the theoretical advances promised by this perspective, the paper describes applications to health communication practice. The drive in disease prevention to reduce uncertainty about the state of health and illness has led to a “culture of chronic illness.” Constant surveillance of people's health, combined with improved methods for screening and monitoring, virtually guarantee finding something wrong with every person, creating a society divided into the chronically ill and the worried well (i.e., those waiting to be diagnosed).",1.0,https://sci-hub.se/10.1111/j.1460-2466.2001.tb02892.x,
