Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar
Conceptualizing Affect as Information in Communication Production,Conceptualizing affect as information in communication production,10.1111/j.1468-2958.1990.tb00219.x,1990,"https://scholar.google.com/scholar?cites=6989894230974893999&as_sdt=5,50&sciodt=0,50&hl=en",210
The Use and Consequences of Verbal Influence Strategies During Interpersonal Disagreements,The use and consequences of verbal influence strategies during interpersonal disagreements,10.1111/j.1468-2958.1990.tb00220.x,1990,"https://scholar.google.com/scholar?cites=9300679608533640076&as_sdt=5,50&sciodt=0,50&hl=en",127
Acquiring Assistance from Others: The Effect of Indirect Requests and Relational Intimacy on Verbal Compliance,Acquiring assistance from others the effect of indirect requests and relational intimacy on verbal compliance,10.1111/j.1468-2958.1990.tb00221.x,1990,"https://scholar.google.com/scholar?cites=6367558457272053586&as_sdt=5,50&sciodt=0,50&hl=en",68
Involvement with Local Television News: Cognitive and Emotional Dimensions,Involvement with local television news: Cognitive and emotional dimensions,10.1111/j.1468-2958.1990.tb00222.x,1990,"https://scholar.google.com/scholar?cites=17666519226680828670&as_sdt=5,50&sciodt=0,50&hl=en",281
A Model of Perceived Communication in Collective Networks,A model of perceived communication in collective networks,10.1111/j.1468-2958.1990.tb00223.x,1990,"https://scholar.google.com/scholar?cites=6294387590679574148&as_sdt=5,50&sciodt=0,50&hl=en",78
Training Observers to Detect Deception: Effects of Self-Monitoring and Rehearsal,Training observers to detect deception: Effects of self-monitoring and rehearsal,10.1111/j.1468-2958.1990.tb00224.x,1990,"https://scholar.google.com/scholar?cites=15730730683146228533&as_sdt=5,50&sciodt=0,50&hl=en",130
Forewarning of a Threat and Prior Knowledge of Outcome: Effects on Children's Emotional Responses to a Film Sequence,Forewarning of a threat and prior knowledge of outcome: Effects on children's emotional responses to a film sequence,10.1111/j.1468-2958.1990.tb00214.x,1990,"https://scholar.google.com/scholar?cites=15409927568858057657&as_sdt=5,50&sciodt=0,50&hl=en",56
Background Television as an Inhibitor of Cognitive Processing,Background television as an inhibitor of cognitive processing,10.1111/j.1468-2958.1990.tb00215.x,1990,"https://scholar.google.com/scholar?cites=2179253406470203626&as_sdt=5,50&sciodt=0,50&hl=en",148
Implicit Theories of Marriage and Evaluations of Marriage on Television,Implicit theories of marriage and evaluations of marriage on television,10.1111/j.1468-2958.1990.tb00216.x,1990,"https://scholar.google.com/scholar?cites=7730552851414461065&as_sdt=5,50&sciodt=0,50&hl=en",44
The Use of Deception as a Compliance-Gaining Strategy,The use of deception as a compliance‐gaining strategy,10.1111/j.1468-2958.1990.tb00217.x,1990,"https://scholar.google.com/scholar?cites=13017747394312353431&as_sdt=5,50&sciodt=0,50&hl=en",39
Self-Inference and the Foot-in-the-Door Technique: Quantity of Behavior and Attitudinal Mediation,Self‐Inference and the Foot‐in‐the‐Door Technique Quantity of Behavior and Attitudinal Mediation,10.1111/j.1468-2958.1990.tb00218.x,1990,"https://scholar.google.com/scholar?cites=10591570305689069062&as_sdt=5,50&sciodt=0,50&hl=en",43
The Negativity Effect in Interaction: It's All in Your Point of View,The negativity effect in interaction: It's all in your point of view,10.1111/j.1468-2958.1989.tb00208.x,1989,"https://scholar.google.com/scholar?cites=10795174471608732820&as_sdt=5,50&sciodt=0,50&hl=en",95
Multiple Effects of Messages with Multiple Goals: Some Perceived Outcomes of Responses to Sexual Harassment,Multiple effects of messages with multiple goals: Some perceived outcomes of responses to sexual harassment,10.1111/j.1468-2958.1989.tb00209.x,1989,"https://scholar.google.com/scholar?cites=8598901279099885852&as_sdt=5,50&sciodt=0,50&hl=en",115
The Nature of Arousal and Nonverbal Indices,The nature of arousal and nonverbal indices,10.1111/j.1468-2958.1989.tb00210.x,1989,"https://scholar.google.com/scholar?cites=11410672521438861498&as_sdt=5,50&sciodt=0,50&hl=en",125
Children's Responses to Conflicting Auditory and Visual Features of a Televised Narrative,Children's responses to conflicting auditory and visual features of a televised narrative,10.1111/j.1468-2958.1989.tb00211.x,1989,"https://scholar.google.com/scholar?cites=7815347601101794921&as_sdt=5,50&sciodt=0,50&hl=en",42
Group Members’ Decision Rule Orientations and Consensus,Group members' decision rule orientations and consensus,10.1111/j.1468-2958.1989.tb00212.x,1989,"https://scholar.google.com/scholar?cites=2719846566597092237&as_sdt=5,50&sciodt=0,50&hl=en",17
Cognition and Social Information-Gathering Strategies: Reinterpretation Assessment in Second-Guessing,Cognition and Social Information‐Gathering Strategies Reinterpretation Assessment in Second‐Guessing,10.1111/j.1468-2958.1989.tb00213.x,1989,"https://scholar.google.com/scholar?cites=16816529691741823841&as_sdt=5,50&sciodt=0,50&hl=en",21
Message Intensity and Cognitive Representations of Discourse: Effects on Inferential Processing,Message Intensity and Cognitive Representations of Discourse Effects on Inferential Processing,10.1111/j.1468-2958.1989.tb00203.x,1989,"https://scholar.google.com/scholar?cites=7981324770429490589&as_sdt=5,50&sciodt=0,50&hl=en",14
Overcoming Obstacles to Interpersonal Compliance: A Principle of Message Construction,Overcoming obstacles to interpersonal compliance a principle of message construction,10.1111/j.1468-2958.1989.tb00204.x,1989,"https://scholar.google.com/scholar?cites=16485204831912265823&as_sdt=5,50&sciodt=0,50&hl=en",140
Memory Structures for Relational Escalation: A Cognitive Test of the Sequencing of Relational Actions and Stages,Memory structures for relational escalation a cognitive test of the sequencing of relational actions and stages,10.1111/j.1468-2958.1989.tb00205.x,1989,"https://scholar.google.com/scholar?cites=7773703059928807116&as_sdt=5,50&sciodt=0,50&hl=en",78
When a Lot of Knowledge Is a Dangerous Thing: The Debilitating Effects of Plan Complexity on Verbal Fluency,When a lot of knowledge is a dangerous thing: The debilitating effects of plan complexity on verbal fluency,10.1111/j.1468-2958.1989.tb00206.x,1989,"https://scholar.google.com/scholar?cites=11674766281654961589&as_sdt=5,50&sciodt=0,50&hl=en",136
Encoding Processes in the Production of Multiple-Goal Messages,Encoding processes in the production of multiple‐goal messages,10.1111/j.1468-2958.1989.tb00207.x,1989,"https://scholar.google.com/scholar?cites=6264046070817576068&as_sdt=5,50&sciodt=0,50&hl=en",129
Emotional Television Scenes and Hemispheric Specialization,Emotional television scenes and hemispheric specialization,10.1111/j.1468-2958.1989.tb00196.x,1989,"https://scholar.google.com/scholar?cites=3905262327355388296&as_sdt=5,50&sciodt=0,50&hl=en",105
Physiological Desensitization and Judgments about Female Victims of Violence,Physiological desensitization and judgments about female victims of violence,10.1111/j.1468-2958.1989.tb00197.x,1989,"https://scholar.google.com/scholar?cites=2933852777257683706&as_sdt=5,50&sciodt=0,50&hl=en",236
Social Contagion and Multiplexity: Communication Networks as Predictors of Commitment and Role Ambiguity,Social contagion and multiplexity communication networks as predictors of commitment and role ambiguity,10.1111/j.1468-2958.1989.tb00198.x,1989,"https://scholar.google.com/scholar?cites=10698168368508990074&as_sdt=5,50&sciodt=0,50&hl=en",183
Decision Development in Small Groups V: Test of a Contingency Model,Decision development in small groups v test of a contingency model,10.1111/j.1468-2958.1989.tb00199.x,1989,"https://scholar.google.com/scholar?cites=12052503936242070994&as_sdt=5,50&sciodt=0,50&hl=en",266
Actor-Observer Differences in Conversational Memory,Actor‐observer differences in conversational memory,10.1111/j.1468-2958.1989.tb00200.x,1989,"https://scholar.google.com/scholar?cites=14498166794674905705&as_sdt=5,50&sciodt=0,50&hl=en",68
Behavioral Complexity Is in the Eye of the Beholder: Effects of Cognitive Complexity and Message Complexity on Impressions of the Source of Comforting Messages,Behavioral complexity is in the eye of the beholder effects of cognitive complexity and message complexity on impressions of the source of comforting messages,10.1111/j.1468-2958.1989.tb00201.x,1989,"https://scholar.google.com/scholar?cites=3803135929762046246&as_sdt=5,50&sciodt=0,50&hl=en",78
A Model of the Perceived Competence of Conflict Strategies,A model of the perceived competence of conflict strategies,10.1111/j.1468-2958.1989.tb00202.x,1989,"https://scholar.google.com/scholar?cites=1124442369645489841&as_sdt=5,50&sciodt=0,50&hl=en",328
Decision Development in Small Groups IV: A Typology of Group Decision Paths,Decision development in small groups IV: A typology of group decision paths,10.1111/j.1468-2958.1989.tb00188.x,1989,"https://scholar.google.com/scholar?cites=313884448679963600&as_sdt=5,50&sciodt=0,50&hl=en",396
Persuasive Arguments Theory: A Test of Assumptions,Persuasive Arguments Theory A Test of Assumptions,10.1111/j.1468-2958.1989.tb00189.x,1989,"https://scholar.google.com/scholar?cites=4254042203511945136&as_sdt=5,50&sciodt=0,50&hl=en",61
"The Evaluative Consequences of Hedges, Hesitations, and Intensifies: Powerful and Powerless Speech Styles","The evaluative consequences of hedges, hesitations, and intensifies: Powerful and powerless speech styles",10.1111/j.1468-2958.1989.tb00190.x,1989,"https://scholar.google.com/scholar?cites=7935553396566265647&as_sdt=5,50&sciodt=0,50&hl=en",221
Issue-Event Extensions and Interaction Involvement: Text-Based and Meaning-Based Discourse Strategies,Issue-event extensions and interaction involvement: Text-based and meaning-based discourse strategies,10.1111/j.1468-2958.1989.tb00191.x,1989,"https://scholar.google.com/scholar?cites=16460185382376590446&as_sdt=5,50&sciodt=0,50&hl=en",30
"The Effect of Time-Compressed Speech on Comprehensive, Interpretive, and Short-Term Listening","The effect of time‐compressed speech on comprehensive, interpretive, and short‐term listening",10.1111/j.1468-2958.1989.tb00192.x,1989,"https://scholar.google.com/scholar?cites=5239106495900379010&as_sdt=5,50&sciodt=0,50&hl=en",63
Client-Oriented Interactional Behaviors for Professional-Client Settings,Client‐oriented interactional behaviors for professional‐client settings,10.1111/j.1468-2958.1989.tb00193.x,1989,"https://scholar.google.com/scholar?cites=18322749559562469756&as_sdt=5,50&sciodt=0,50&hl=en",16
From Here to Eternity: Children's Acquisition of Understanding of Projective Size on Television,From Here to Eternity Children's Acquisition of Understanding of Projective Size on Television,10.1111/j.1468-2958.1989.tb00194.x,1989,"https://scholar.google.com/scholar?cites=15117252370369355766&as_sdt=5,50&sciodt=0,50&hl=en",39
Individual Differences in Coping with Stressful Mass Media: An Activation-Arousal View,Individual Differences in Coping with Stressful Mass Media An Activation‐Arousal View,10.1111/j.1468-2958.1988.tb00181.x,1988,"https://scholar.google.com/scholar?cites=9296190743060983874&as_sdt=5,50&sciodt=0,50&hl=en",92
Plans and the Initiation of Social Relationships,Plans and the initiation of social relationships,10.1111/j.1468-2958.1988.tb00182.x,1988,"https://scholar.google.com/scholar?cites=7789061045415483618&as_sdt=5,50&sciodt=0,50&hl=en",193
"Citation Networks of Communication Journals, 1977–1985: Cliques and Positions, Citations Made and Citations Received","Citation networks of communication journals, 1977–1985 cliques and positions, citations made and citations received",10.1111/j.1468-2958.1988.tb00184.x,1988,"https://scholar.google.com/scholar?cites=708005925833804958&as_sdt=5,50&sciodt=0,50&hl=en",218
Interpersonal versus Mass Media Communication: A False Dichotomy,Interpersonal versus mass media communication a false dichotomy,10.1111/j.1468-2958.1988.tb00185.x,1988,"https://scholar.google.com/scholar?cites=10067411343540515671&as_sdt=5,50&sciodt=0,50&hl=en",390
Fragmentation in the Field—and the Movement toward Integration in Communication Science,Fragmentation in the field—and the movement toward integration in communication science,10.1111/j.1468-2958.1988.tb00186.x,1988,"https://scholar.google.com/scholar?cites=5971001324566043670&as_sdt=5,50&sciodt=0,50&hl=en",76
On Bridging the Communication Gap,On bridging the communication gap,10.1111/j.1468-2958.1988.tb00187.x,1988,"https://scholar.google.com/scholar?cites=10900830383238095859&as_sdt=5,50&sciodt=0,50&hl=en",116
Citation Patterns of Core Communication Journals: An Assessment of the Developmental Status of Communication,Citation patterns of core communication journals: An assessment of the developmental status of communication,10.1111/j.1468-2958.1988.tb00183.x,1988,"https://scholar.google.com/scholar?cites=9473173411102949186&as_sdt=5,50&sciodt=0,50&hl=en",170
The Empirical Study of the Persuasive Effects of Evidence: The Status After Fifty Years of Research,The empirical study of the persuasive effects of evidence the status after fifty years of research,10.1111/j.1468-2958.1988.tb00170.x,1988,"https://scholar.google.com/scholar?cites=3545967952321073200&as_sdt=5,50&sciodt=0,50&hl=en",322
Patients’ Characteristics Affecting Physician-Patient Nonverbal Communication,Patients' characteristics affecting physician‐patient nonverbal communication,10.1111/j.1468-2958.1988.tb00171.x,1988,"https://scholar.google.com/scholar?cites=7144968945299324946&as_sdt=5,50&sciodt=0,50&hl=en",121
Inoculation in Political Campaign Communication,Inoculation in political campaign communication,10.1111/j.1468-2958.1988.tb00172.x,1988,"https://scholar.google.com/scholar?cites=2162785956911258577&as_sdt=5,50&sciodt=0,50&hl=en",281
Colloquy on Generalization: Meta-Analytic Techniques When Generalizing to Message Populations Is Not Possible,Colloquy on Generalization: Meta-Analytic Techniques When Generalizing to Message Populations Is Not Possible,10.1111/j.1468-2958.1988.tb00173.x,1988,"https://scholar.google.com/scholar?cites=9795438465718498681&as_sdt=5,50&sciodt=0,50&hl=en",36
The Search for Reliable Generalizations About Messages: A Comparison of Research Strategies,The search for reliable generalizations about messages: A comparison of research strategies,10.1111/j.1468-2958.1988.tb00174.x,1988,"https://scholar.google.com/scholar?cites=4870307108699723848&as_sdt=5,50&sciodt=0,50&hl=en",87
Failure of the Social Desirability Response Set Hypothesis,Failure of the social desirability response set hypothesis.,10.1111/j.1468-2958.1988.tb00178.x,1988,"https://scholar.google.com/scholar?cites=16390050713322936127&as_sdt=5,50&sciodt=0,50&hl=en",36
Comments on the Utility of Compliance-Gaining Message Selection Tasks,Comments on the Utility of Compliance-Gaining Message Selection Tasks.,10.1111/j.1468-2958.1988.tb00179.x,1988,"https://scholar.google.com/scholar?cites=8699968468455558286&as_sdt=5,50&sciodt=0,50&hl=en",48
Item Desirability Effects in Compliance-Gaining Research: Seven Studies Documenting Artifacts in the Strategy Selection Procedure,Item desirability effects in compliance-gaining research: Seven studies documenting artifacts in the strategy selection procedure,10.1111/j.1468-2958.1988.tb00164.x,1988,"https://scholar.google.com/scholar?cites=7861449965888241693&as_sdt=5,50&sciodt=0,50&hl=en",147
Group Communication and Decision-Making Performance: A Continued Test of the Functional Perspective,Group communication and decision-making performance: A continued test of the functional perspective,10.1111/j.1468-2958.1988.tb00165.x,1988,"https://scholar.google.com/scholar?cites=5497012926734226577&as_sdt=5,50&sciodt=0,50&hl=en",192
Events That Increase Uncertainty in Personal Relationships II: Replication and Extension,Events that increase uncertainty in personal relationships ii replication and extension,10.1111/j.1468-2958.1988.tb00166.x,1988,"https://scholar.google.com/scholar?cites=15908590018442086913&as_sdt=5,50&sciodt=0,50&hl=en",271
Relative and Absolute Judgments of Speech Rate from Masked and Content-Standard Stimuli: The Influence of Vocal Frequency and Intensity,Relative and Absolute Judgments of Speech Rate from Masked and Content‐Standard Stimuli The Influence of Vocal Frequency and Intensity,10.1111/j.1468-2958.1988.tb00167.x,1988,"https://scholar.google.com/scholar?cites=16719898457634009964&as_sdt=5,50&sciodt=0,50&hl=en",18
The Influence of Social Identity and Intimacy of Interethnic Relationships on Uncertainty Reduction Processes,The influence of social identity and intimacy of interethnic relationships on uncertainty reduction processes,10.1111/j.1468-2958.1988.tb00168.x,1988,"https://scholar.google.com/scholar?cites=14166850468102223965&as_sdt=5,50&sciodt=0,50&hl=en",138
Conceptualization and Measurement of Interpersonal Communication Motives,Conceptualization and measurement of interpersonal communication motives,10.1111/j.1468-2958.1988.tb00169.x,1988,"https://scholar.google.com/scholar?cites=15865286344563142668&as_sdt=5,50&sciodt=0,50&hl=en",569
Form and Function in Motor Mimicry: Topographic Evidence that the Primary Function Is Communicative,Form and function in motor mimicry topographic evidence that the primary function is communicative,10.1111/j.1468-2958.1988.tb00158.x,1988,"https://scholar.google.com/scholar?cites=12460895347664503789&as_sdt=5,50&sciodt=0,50&hl=en",232
The Effects of Vocalics and Nonverbal Sensitivity on Compliance: A Speech Accommodation Theory Explanation,The effects of vocalics and nonverbal sensitivity on compliance: A replication and extension,10.1111/j.1468-2958.1988.tb00159.x,1988,"https://scholar.google.com/scholar?cites=16337415199481840596&as_sdt=5,50&sciodt=0,50&hl=en",110
Speech Evaluation Differences as a Function of Perspective (Participant versus Observer) and Presentational Medium,Speech evaluation differences as a function of perspective (participant versus observer) and presentational medium,10.1111/j.1468-2958.1988.tb00160.x,1988,"https://scholar.google.com/scholar?cites=9116328314566984841&as_sdt=5,50&sciodt=0,50&hl=en",88
Acquiring Resources from Intimates: When Obligation Substitutes for Persuasion,Acquiring resources from intimates when obligation substitutes for persuasion,10.1111/j.1468-2958.1988.tb00161.x,1988,"https://scholar.google.com/scholar?cites=15074389698387955673&as_sdt=5,50&sciodt=0,50&hl=en",138
An Interpersonal Communication Perspective on Images of Political Candidates,An interpersonal communication perspective on images of political candidates,10.1111/j.1468-2958.1988.tb00162.x,1988,"https://scholar.google.com/scholar?cites=12902187079788803516&as_sdt=5,50&sciodt=0,50&hl=en",31
Individual Differences in Cognitive Editing Standards,Individual differences in cognitive editing standards,10.1111/j.1468-2958.1987.tb00124.x,1987,"https://scholar.google.com/scholar?cites=10248227300989054941&as_sdt=5,50&sciodt=0,50&hl=en",106
Situational and Individual Determinants of Teachers' Reported Use of Behavior Alteration Techniques,Situational and individual determinants of teachers' reported use of behavior alteration techniques,10.1111/j.1468-2958.1987.tb00125.x,1987,"https://scholar.google.com/scholar?cites=3552984495463879243&as_sdt=5,50&sciodt=0,50&hl=en",72
The Nature and Correlates of Conversational Sensitivity,The nature and correlates of conversational sensitivity,10.1111/j.1468-2958.1987.tb00126.x,1987,"https://scholar.google.com/scholar?cites=6423311510696103636&as_sdt=5,50&sciodt=0,50&hl=en",133
"Conversational Memory: The Effects of Time, Recall, Mode, and Memory Expectancies on Remembrances of Natural Conversations",Conversational memory: The effects of recall mode and memory expectancies on remembrances of natural conversations,10.1111/j.1468-2958.1987.tb00127.x,1987,"https://scholar.google.com/scholar?cites=12178040971756901843&as_sdt=5,50&sciodt=0,50&hl=en",217
Question-Asking in Same- and opposite-Sex Initial Interactions: The Effects of Anticipated Future Interaction,Question‐Asking in Same‐and Opposite‐Sex Initial Interactions The Effects of Anticipated Future Interaction,10.1111/j.1468-2958.1987.tb00128.x,1987,"https://scholar.google.com/scholar?cites=6293861756462476025&as_sdt=5,50&sciodt=0,50&hl=en",41
Audience Activity and Soap Opera Involvement: A Uses and Effects Investigation,Audience activity and soap opera involvement a uses and effects investigation,10.1111/j.1468-2958.1987.tb00129.x,1987,"https://scholar.google.com/scholar?cites=16873564493821719123&as_sdt=5,50&sciodt=0,50&hl=en",1066
Reducing Children's Emotional Reactions to Mass Media Through Rehearsed Explanation and Exposure to a Replica of a Fear Object,Reducing Children's Emotional Reactions to Mass Media Through Rehearsed Explanationand Exposure to a Replica of a Fear Object,10.1111/j.1468-2958.1987.tb00119.x,1987,"https://scholar.google.com/scholar?cites=4664423804538654929&as_sdt=5,50&sciodt=0,50&hl=en",58
Does Television Viewing Hinder Academic Achievement Among Adolescents?,Does television viewing hinder academic achievement among adolescents?,10.1111/j.1468-2958.1987.tb00120.x,1987,"https://scholar.google.com/scholar?cites=3039647605839498097&as_sdt=5,50&sciodt=0,50&hl=en",107
“Did You Bring the Yarmulke for the Cabbage Patch Kid?”: The Idiomatic Communication of Young Lovers,“Did you bring the yarmulke for the cabbage patch kid?” The idiomatic communication of young lovers,10.1111/j.1468-2958.1987.tb00121.x,1987,"https://scholar.google.com/scholar?cites=9289866105601040309&as_sdt=5,50&sciodt=0,50&hl=en",147
Message Design Logic and Message Goal Structure: Effects on Perceptions of Message Quality in Regulative Communication Situations,Message design logic and message goal structure: Effects on perceptions of message quality in regulative communication situations,10.1111/j.1468-2958.1987.tb00122.x,1987,"https://scholar.google.com/scholar?cites=12965648959850519361&as_sdt=5,50&sciodt=0,50&hl=en",177
Appropriateness and Effectiveness Perceptions of Conflict Strategies,Appropriateness and effectiveness perceptions of conflict strategies,10.1111/j.1468-2958.1987.tb00123.x,1987,"https://scholar.google.com/scholar?cites=6485070153840664855&as_sdt=5,50&sciodt=0,50&hl=en",448
Maternal Input to Twin and Singleton Children: Implications for Language Acquisition,Maternal input to twin and singleton children: Implications for language acquisition,10.1111/j.1468-2958.1987.tb00114.x,1987,"https://scholar.google.com/scholar?cites=3617756324996360833&as_sdt=5,50&sciodt=0,50&hl=en",50
The Nature of Conversational Involvement and Nonverbal Encoding Patterns,The nature of conversational involvement and nonverbal encoding patterns,10.1111/j.1468-2958.1987.tb00115.x,1987,"https://scholar.google.com/scholar?cites=11117092781284216989&as_sdt=5,50&sciodt=0,50&hl=en",395
Content Themes in Marital Conversations,Content themes in marital conversations,10.1111/j.1468-2958.1987.tb00116.x,1987,"https://scholar.google.com/scholar?cites=6216939758507043189&as_sdt=5,50&sciodt=0,50&hl=en",78
Preference for Graphic Horror Featuring Male versus Female Victimization: Personality and Past Film Viewing Experiences,Preference for graphic horror featuring male versus female victimization: Personality and past film viewing experiences,10.1111/j.1468-2958.1987.tb00117.x,1987,"https://scholar.google.com/scholar?cites=2656334070955437756&as_sdt=5,50&sciodt=0,50&hl=en",125
Searching for Cognitive Processes in the Cultivation Effect: Adult and Adolescent Samples in the United States and Australia,Searching for cognitive processes in the cultivation effect: Adult and adolescent samples in the United States and Australia,10.1111/j.1468-2958.1987.tb00118.x,1987,"https://scholar.google.com/scholar?cites=16990543778446333081&as_sdt=5,50&sciodt=0,50&hl=en",219
The Formation of Social Relationships: A Longitudinal Study of Social Penetration,The formation of social relationships: A longitudinal study of social penetration,10.1111/j.1468-2958.1987.tb00107.x,1987,"https://scholar.google.com/scholar?cites=2657106477901937198&as_sdt=5,50&sciodt=0,50&hl=en",101
Male/Female Gaze in Same-Sex and Mixed-Sex Dyads: Gender-Linked Differences and Mutual Influence,Male/female gaze in same-sex and mixed-sex dyads: Gender-linked differences and mutual influence,10.1111/j.1468-2958.1987.tb00108.x,1987,"https://scholar.google.com/scholar?cites=13511261113358011806&as_sdt=5,50&sciodt=0,50&hl=en",111
The Effects of Sex of Subject and Sex of Partner on Interruptions,The effects of sex of subject and sex of partner on interruptions,10.1111/j.1468-2958.1987.tb00109.x,1987,"https://scholar.google.com/scholar?cites=921787873597061673&as_sdt=5,50&sciodt=0,50&hl=en",164
Gender Differences in Persuasive Communication and Attribution of Success and Failure,Gender differences in persuasive communication and attribution of success and failure,10.1111/j.1468-2958.1987.tb00110.x,1987,"https://scholar.google.com/scholar?cites=12012870392891101947&as_sdt=5,50&sciodt=0,50&hl=en",101
Action Assembly Theory and Communication Apprehension: A Psychophysiological Study,Action assembly theory and communication apprehension: A psychophysiological study,10.1111/j.1468-2958.1987.tb00111.x,1987,"https://scholar.google.com/scholar?cites=9754130276230536387&as_sdt=5,50&sciodt=0,50&hl=en",48
The Implicit Representation of Characters in Dallas: A Multidimensional Scaling Approach,The Implicit Representation of Characters in Dallas A Multidimensional Scaling Approach,10.1111/j.1468-2958.1987.tb00112.x,1987,"https://scholar.google.com/scholar?cites=14326951153518472101&as_sdt=5,50&sciodt=0,50&hl=en",60
Perceptions of Self-Disclosure in Initial Interaction: A Japanese Sample,Perceptions of self-disclosure in initial interaction: A Japanese sample,10.1111/j.1468-2958.1986.tb00101.x,1986,"https://scholar.google.com/scholar?cites=2570650080242989471&as_sdt=5,50&sciodt=0,50&hl=en",80
Communication and Interdependence in Geographically Separated Relationships,Communication and interdependence in geographically separated relationships,10.1111/j.1468-2958.1986.tb00102.x,1986,"https://scholar.google.com/scholar?cites=3270151839366401733&as_sdt=5,50&sciodt=0,50&hl=en",109
Enhanced Conversational Recall and Reduced Conversational Interference as a Function of Cognitive Complexity,Enhanced conversational recall and reduced conversational interference as a function of cognitive complexity,10.1111/j.1468-2958.1986.tb00103.x,1986,"https://scholar.google.com/scholar?cites=10530025074031784539&as_sdt=5,50&sciodt=0,50&hl=en",43
Experiments in Group Decision Making: Communication Process and Outcome in Face-to-Face versus Computerized Conferences,Experiments in group decision making communication process and outcome in face‐to‐face versus computerized conferences,10.1111/j.1468-2958.1986.tb00104.x,1986,"https://scholar.google.com/scholar?cites=676846619857200669&as_sdt=5,50&sciodt=0,50&hl=en",1176
The Perceptual Contrast Explanation of Sequential Request Strategy Effectiveness,The perceptual contrast explanation of sequential request strategy effectiveness,10.1111/j.1468-2958.1986.tb00105.x,1986,"https://scholar.google.com/scholar?cites=5534257864464370397&as_sdt=5,50&sciodt=0,50&hl=en",44
A Field Study of Social Information Processing: Mean Differences and Variance Differences,A Field Study of Social Information Processing Mean Differences and Variance Differences,10.1111/j.1468-2958.1986.tb00106.x,1986,"https://scholar.google.com/scholar?cites=7455792316614776775&as_sdt=5,50&sciodt=0,50&hl=en",36
Predicted Outcome Value during Initial Interactions: A Reformulation of Uncertainty Reduction Theory,Predicted outcome value during initial interactions: A reformulation of uncertainty reduction theory,10.1111/j.1468-2958.1986.tb00092.x,1986,"https://scholar.google.com/scholar?cites=12977644074395055837&as_sdt=5,50&sciodt=0,50&hl=en",435
Anticipation of Future Interaction and Information Exchange in Initial Interaction,Anticipation of future interaction and information exchange in initial interaction,10.1111/j.1468-2958.1986.tb00095.x,1986,"https://scholar.google.com/scholar?cites=8861515786443692051&as_sdt=5,50&sciodt=0,50&hl=en",84
Measurement and Effects of Attention to Media News,Measurement and effects of attention to media news,10.1111/j.1468-2958.1986.tb00096.x,1986,"https://scholar.google.com/scholar?cites=15651910046516172683&as_sdt=5,50&sciodt=0,50&hl=en",807
Antecedents and Consequences of Awkward Silence: A Replication Using Revised Lag Sequential Analysis,Antecedents and Consequences of Awkward Silence A Replication Using Revised Lag Sequential Analysis,10.1111/j.1468-2958.1986.tb00097.x,1986,"https://scholar.google.com/scholar?cites=9993926883577094538&as_sdt=5,50&sciodt=0,50&hl=en",15
The Effects of Vocalics and Nonverbal Sensitivity on Compliance: A Replication and Extension,The effects of vocalics and nonverbal sensitivity on compliance: A replication and extension,10.1111/j.1468-2958.1986.tb00098.x,1986,"https://scholar.google.com/scholar?cites=16337415199481840596&as_sdt=5,50&sciodt=0,50&hl=en",110
The Discourse of Requests: Assessment of a Politeness Approach,The discourse of requests: Assessment of a politeness approach,10.1111/j.1468-2958.1986.tb00087.x,1986,"https://scholar.google.com/scholar?cites=11378402137329884569&as_sdt=5,50&sciodt=0,50&hl=en",363
Turning Points in Developing Romantic Relationships,Turning points in developing romantic relationships,10.1111/j.1468-2958.1986.tb00088.x,1986,"https://scholar.google.com/scholar?cites=5618182389702443671&as_sdt=5,50&sciodt=0,50&hl=en",692
Communicative Effects of Gaze Behavior: A Test of Two Contrasting Explanations,Communicative effects of gaze behavior: A test of two contrasting explanations,10.1111/j.1468-2958.1986.tb00089.x,1986,"https://scholar.google.com/scholar?cites=11266285899379796040&as_sdt=5,50&sciodt=0,50&hl=en",195
Attributional Confidence in Low- and High-Context Cultures,Attributional confidence in low-and high-context cultures,10.1111/j.1468-2958.1986.tb00090.x,1986,"https://scholar.google.com/scholar?cites=5178004436906759205&as_sdt=5,50&sciodt=0,50&hl=en",301
Manager Communicative Style and Nurse Morale,Manager communicative style and nurse morale,10.1111/j.1468-2958.1986.tb00091.x,1986,"https://scholar.google.com/scholar?cites=8075493382972793361&as_sdt=5,50&sciodt=0,50&hl=en",33
Knowing When to “Second-Guess”: The Mindful Analysis of Messages,Knowing when to “second‐guess” The mindful analysis of messages,10.1111/j.1468-2958.1986.tb00080.x,1986,"https://scholar.google.com/scholar?cites=17976721846182862003&as_sdt=5,50&sciodt=0,50&hl=en",34
"“Come to Think of It…”: Interrogative Probes, Deceptive Communication, and Deception Detection","“Come to think of it…” Interrogative probes, deceptive communication, and deception detection",10.1111/j.1468-2958.1986.tb00081.x,1986,"https://scholar.google.com/scholar?cites=1684987814665109616&as_sdt=5,50&sciodt=0,50&hl=en",174
The Development of Listener-Adapted Compliance-Resisting Strategies,The development of listener-adapted compliance-resisting strategies,10.1111/j.1468-2958.1986.tb00082.x,1986,"https://scholar.google.com/scholar?cites=2380131599980353581&as_sdt=5,50&sciodt=0,50&hl=en",45
