Original Title,Title on Google Scholar,DOI,Citation Link,Citation Counts on Google Scholar
The “Connected” Caregivers: Exploring the Interplay of Left-Behind Women’s Socio-Structural Immobilities and Communicative Mobilities in Transnational Power Geometries,[PDF] The “Connected” Caregivers: Exploring the Interplay of Left-Behind Women's Socio-Structural Immobilities and Communicative Mobilities in Transnational …,10.1093/jcmc/zmac003,"https://scholar.google.com/scholar?cites=1928362336783466238&as_sdt=5,50&sciodt=0,50&hl=en",1
Technical Features of Asynchronous and Synchronous Community Platforms and their Effects on Community Cohesion: A Comparative Study of Forum-based and Chat-based Online Mental Health Communities,Technical Features of Asynchronous and Synchronous Community Platforms and their Effects on Community Cohesion: A Comparative Study of Forum-based and …,10.1093/jcmc/zmab016,"https://scholar.google.com/scholar?cites=8652122271198123806&as_sdt=5,50&sciodt=0,50&hl=en",3
The Relationship between Cyberbalkanization and Opinion Polarization: Time-Series Analysis on Facebook Pages and Opinion Polls during the Hong Kong Occupy Movement and the Associated Debate on Political Reform,The relationship between cyberbalkanization and opinion polarization: Time-series analysis on Facebook pages and opinion polls during the Hong Kong Occupy …,10.1111/jcc4.12192,"https://scholar.google.com/scholar?cites=4862892029207352251&as_sdt=5,50&sciodt=0,50&hl=en",74
The Double-Edged Sword: The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and Their News Products,The double-edged sword: The effects of journalists' social media activities on audience perceptions of journalists and their news products,10.1111/jcc4.12113,"https://scholar.google.com/scholar?cites=2645205040440378772&as_sdt=5,50&sciodt=0,50&hl=en",115
Cultivating Social Resources on Social Network Sites: Facebook Relationship Maintenance Behaviors and Their Role in Social Capital Processes,[CITATION] Cultivating Social Resources on Social Network Sites: Facebook Relationship Maintenance Behaviors and Their Role in Social Capital Processes,10.1111/jcc4.12078,"https://scholar.google.com/scholar?cites=16945933027168525950&as_sdt=5,50&sciodt=0,50&hl=en",2
The Aceh Besar midwives with mobile phones project: Design and evaluation perspectives using the information and communication technologies for healthcare development model,The Aceh Besar midwives with mobile phones project: Design and evaluation perspectives using the information and communication technologies for healthcare …,10.1111/j.1083-6101.2010.01515.x,"https://scholar.google.com/scholar?cites=8772066352018578227&as_sdt=5,50&sciodt=0,50&hl=en",181
"The Faces of Facebookers: Investigating Social Enhancement and Social Compensation Hypotheses; Predicting Facebook™ and Offline Popularity from Sociability and Self-Esteem, and Mapping the Meanings of Popularity with Semantic Networks","he faces of Facebookers: Investigating social enhancement and social compensation hypotheses; predicting Facebook™ and offline popularity from sociability and self-esteem, and mapping the meanings of popularity with semantic networks",10.1111/j.1083-6101.2008.01429.x,"https://scholar.google.com/scholar?cites=15592311603381234619&as_sdt=5,50&sciodt=0,50&hl=en",1032
"Researching Internet-Based Populations: Advantages and Disadvantages of Online Survey Research, Online Questionnaire Authoring Software Packages, and Web Survey Services","Researching Internet-based populations: Advantages and disadvantages of online survey research, online questionnaire authoring software packages, and web …",10.1111/j.1083-6101.2005.tb00259.x,"https://scholar.google.com/scholar?cites=15623791579523961397&as_sdt=5,50&sciodt=0,50&hl=en",4112
“a Funky Language for Teenzz to Use:” Representing Gulf Arabic in Instant Messaging,[CITATION] A funky language for teenzz to use”: Representing Gulf Arabic in instant messaging,10.1111/j.1083-6101.2003.tb00355.x,"https://scholar.google.com/scholar?cites=3771214897012118094&as_sdt=5,50&sciodt=0,50&hl=en",3
"Jcmc Volume 9, Issue 1: the Multilingual Internet. Apec Multilingual International Trade Project: Methodology and Case Reports on Needs Assessment","Jcmc Volume 9, Issue 1: the Multilingual Internet. Apec Multilingual International Trade Project: Methodology and Case Reports on Needs Assessment",10.1111/j.1083-6101.2003.tb00363.x,"https://scholar.google.com/scholar?q=related:a-3zYu6h0v0J:scholar.google.com/&scioq=10.1111/j.1083-6101.2003.tb00363.x&hl=en&as_sdt=0,50",0
Networked Interactivity,Networked interactivity,10.1111/j.1083-6101.1997.tb00201.x,"https://scholar.google.com/scholar?cites=11797567354355092036&as_sdt=5,50&sciodt=0,50&hl=en",1487
Customary Law & Power in Internet Communities,Customary law & power in Internet communities,10.1111/j.1083-6101.1996.tb00182.x,"https://scholar.google.com/scholar?cites=10323594071160901240&as_sdt=5,50&sciodt=0,50&hl=en",42
The Internet as Mass Medium,The Internet as mass medium,10.1111/j.1083-6101.1996.tb00174.x,"https://scholar.google.com/scholar?cites=12247624361052857008&as_sdt=5,50&sciodt=0,50&hl=en",2099
The Internet and U. S. Communication Policy-Making in Historical and Critical Perspective: McChesney,The Internet and US communication policy-making in historical and critical perspective: McChesney,10.1111/j.1083-6101.1996.tb00177.x,"https://scholar.google.com/scholar?cites=13038591464250110073&as_sdt=5,50&sciodt=0,50&hl=en",4
"From 〈Bonehead〉 to 〈cLoNehEad〉: Nicknames, Play, and Identity on Internet Relay Chat","From to : Nicknames, Play, and Identity on Internet Relay Chat1",10.1111/j.1083-6101.1995.tb00325.x,"https://scholar.google.com/scholar?cites=3046574075011712941&as_sdt=5,50&sciodt=0,50&hl=en",568
Making #BlackLivesMatter in the Shadow of Selma: Collective Memory and Racial Justice Activism in U.S. News,Making# BlackLivesMatter in the shadow of Selma: Collective memory and racial justice activism in US news,10.1093/ccc/tcab007,"https://scholar.google.com/scholar?cites=2022407968633112367&as_sdt=5,50&sciodt=0,50&hl=en",7
#MeToo and the Politics of Collective Healing: Emotional Connection as Contestation,[PDF] Healing: Emotional Connection as Contestation,10.1093/ccc/tcz032,"https://scholar.google.com/scholar?q=related:1BhQfcqRilkJ:scholar.google.com/&scioq=10.1093/ccc/tcz032&hl=en&as_sdt=0,50",0
Remaking the #Syllabus: Crowdsourcing Resistance Praxis as Critical Public Pedagogy,Remaking the# syllabus: Crowdsourcing resistance praxis as critical public pedagogy,10.1093/ccc/tcaa017,"https://scholar.google.com/scholar?cites=7327558628287543690&as_sdt=5,50&sciodt=0,50&hl=en",7
#ThisEndsHere: Confronting Sexual Assault and Harassment in Our Campus Communities,[PDF] and Harassment in Our Campus Communities,10.1093/ccc/tcy016,"https://scholar.google.com/scholar?q=related:A8T2UToQDJAJ:scholar.google.com/&scioq=10.1093/ccc/tcy016&hl=en&as_sdt=0,50",0
Toxic Identification: #Twinks4Trump and the Homonationalist Rearticulation of Queer Vernacular Rhetoric,Toxic identification:# Twinks4Trump and the homonationalist rearticulation of queer vernacular rhetoric,10.1093/ccc/tcx006,"https://scholar.google.com/scholar?cites=16032697348728764167&as_sdt=5,50&sciodt=0,50&hl=en",12
"#nolitetebastardescarborundorum: Self-Publishing, Hashtag Activism, and Feminist Resistance","# Nolitetebastardescarborundorum: Self-Publishing, Hashtag Activism, and Feminist Resistance",10.1093/ccc/tcx016,"https://scholar.google.com/scholar?cites=4623606330080088927&as_sdt=5,50&sciodt=0,50&hl=en",14
