journal,issueURL,volumn,issue,issueText,month,year,category,type,title,url,doi,pages,abstract,abstract_para_num,sci_hub
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/13/2?browseBy=volume,Volume 13,Issue 2,"Issue 2, June 2020, Pages 143–274",June,2020,"Forum: #CommunicationSoWhite: Practice, Pedagogy, Politics",M,#CommunicationSoWhite in the Age of Ultra-Nationalisms,https://academic.oup.com/ccc/article/13/2/270/5864543,10.1093/ccc/tcaa018,270–274,,,https://sci-hub.se/10.1093/ccc/tcaa018
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/13/2?browseBy=volume,Volume 13,Issue 2,"Issue 2, June 2020, Pages 143–274",June,2020,Articles,R,On the Margins of the Margins: #CommunicationSoWhite—Canadian Style,https://academic.oup.com/ccc/article/13/2/168/5862563,10.1093/ccc/tcaa019,168–184,"Canada is defined by its commitment to multicultural diversity, tolerance and liberalism that belie the dominant whiteness of our institutions, including academia. Canadian Communication Studies, despite its history of attending to the power dynamics of the center and the margins, is no exception to this rule. Studies of racism and colonialism are confined to the corners of the discipline, reflecting the lack of representation in communication departments, the canon, and in the field’s flagship journal. This sharply contrasts the prevalence of contemporary issues concerning race, religion, nationalism, nationwide Indigenous movements and anti-racist campaigns, as well as mobilizations against police violence, Islamophobia, and pipelines. Colonialism, race and racialization are central to the framing of these issues and demand urgent attention.",1,https://sci-hub.se/10.1093/ccc/tcaa019
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/13/3?browseBy=volume,Volume 13,Issue 3,"Issue 3, September 2020, Pages 275–401",September,2020,Original Articles,R,Virtual Empathy,https://academic.oup.com/ccc/article/13/3/295/5634133,10.1093/ccc/tcz035,295–310,"This article offers a theoretical response to the recent interest in virtual reality (VR) as a technology for enhancing empathy. It argues that the version of empathy envisioned by the champions of the technology—one in which care for the other is a function of being able to collapse the other’s experience into one’s own—runs counter to the very concept of empathy, as originally construed, which preserves otherness in its alterity. The point is not simply to invoke a historical concept of empathy to contrast with the VR version, but to emphasize its enduring salience in response to recent technological developments. There is little doubt regarding the need for empathy, in the sense explored in this article, as we confront the pathologies of political fragmentation and social polarization facilitated by the current iteration of social media. However, this article argues that the VR version is more likely to exacerbate than redress these concerns.",1,https://sci-hub.se/10.1093/ccc/tcz035
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/25/2?browseBy=volume,Volume 25,Issue 2,"Issue 2, March 2020, Pages 129–197",March,2020,Articles,R,Mobile Phone Use as Sequential Processes: From Discrete Behaviors to Sessions of Behaviors and Trajectories of Sessions,https://academic.oup.com/jcmc/article/25/2/129/5823244,10.1093/jcmc/zmz029,,"Mobile phone use is an unfolding process by nature. In this study, it is explicated as two sequential processes: mobile sessions composed of an uninterrupted set of behaviors and mobile trajectories composed of mobile sessions and mobile-off time. A data set of a five-month behavioral logfile of mobile application use by approximately 2,500 users in Hong Kong is used. Mobile sessions are constructed and mined to uncover sequential characteristics and patterns in mobile phone use. Mobile trajectories are analyzed to examine intraindividual change and interindividual differences on mobile re-engagement as indicators of behavioral dynamics in mobile phone use. The study provides empirical support for and expands the boundaries of existing theories about combinatorial use of information and communication technologies (ICTs). Finally, the understanding on mobile temporality is enhanced, that is, mobile temporality is homogeneous across social sectors. Furthermore, mobile phones redefine, rather than blur, the boundary between private and public time.",1,https://sci-hub.se/10.1093/jcmc/zmz029
Communication Theory,https://academic.oup.com/ct/issue/30/2?browseBy=volume,Volume 30,Issue 2,"Issue 2, May 2020, Pages 105–225",May,2020,Original Articles,R,The Visual Citizen in a Digital News Landscape,https://academic.oup.com/ct/article/30/2/149/5640300,10.1093/ct/qtz028,149–168,"This article’s contribution to theory-building focuses on the everyday circumstances under which journalism encourages a civic gaze. Specifically, it elaborates our heuristic conception of the “visual citizen” to explore journalism’s mediation of a politics of seeing, paying particular attention to how and why renderings of in/visibility signify varied opportunities for civic engagement within digital news landscapes. In recognizing a distinction between direct and virtual witnessing, it establishes a conceptual basis for an inductive typology delineating interrelated, potential citizen-subject positions across a continuum. Four such positions are identified and appraised, namely the visual citizen as: (a) news observer and circulator, (b) accidental news image-maker and contributor, (c) purposeful news image-maker and activist, and (d) creative image-maker and news commentator. Evaluating these positions in relation to their significance for visual journalism, this article aims to advance efforts to rethink the inscription of imagery in news reportage and its import for public life.",1,https://sci-hub.se/10.1093/ct/qtz028
Communication Theory,https://academic.oup.com/ct/issue/29/4?browseBy=volume,Volume 29,Issue 4,"Issue 4, November 2019, Pages 383–548",November,2019,Original Articles,R,Rhetorical Arbitrage: The Rhetoric of the Sharing Economy,https://academic.oup.com/ct/article/29/4/383/5475561,10.1093/ct/qtz005,383–400,"This article extends the growing conversation on the rhetoric of economics through a critical analysis of the rhetoric of the “sharing economy” firm Uber. After reconfiguring the economic concept of arbitrage from a rhetorical perspective, I demonstrate the means by which “ride sharing” services exploit their customers and workers. Ultimately, I contend that Uber’s rhetoric works by deploying the language of the private sphere in order that the company can operate like a taxi company even as it evades the obligations that ordinarily attach to providing taxi service to the public.",1,https://sci-hub.se/10.1093/ct/qtz005
Human Communication Research,https://academic.oup.com/hcr/issue/45/4?browseBy=volume,Volume 45,Issue 4,"Issue 4, October 2019, Pages 371–507",October,2019,Original Articles,R,"An Internal Replication Examining the Role of Issue Involvement, Relevance, and Additional Requirements to Maintain an Established Freedom among Older Adults",https://academic.oup.com/hcr/article/45/4/450/5586245,10.1093/hcr/hqz010,450–473,"The current research aimed to advance the psychological reactance theory literature by extending this framework to older adults (N = 525) age 55 or older. In doing so, this project tests two principles of reactance theory as well as exploring the relationship between reactance and a behavioral outcome. Results demonstrated that the threat of additional driver’s license requirements, issue involvement, and the personal relevance of the threatened freedom increased freedom threat perceptions. In turn, freedom threat perceptions were positively associated with reactance. Reactance was positively associated with agreeing to sign a petition protesting the proposed requirements. The same pattern of findings was replicated within the context of maintaining low cost health insurance premiums. In addition to these main effects, two interactions (additional test requirements * issue involvement and additional test requirements * personal 2 relevance) were explored. Results are discussed with an emphasis on the theoretical and practical implications for psychological reactance theory among older adults.",1,https://sci-hub.se/10.1093/hcr/hqz010
Human Communication Research,https://academic.oup.com/hcr/issue/45/3?browseBy=volume,Volume 45,Issue 3,"Issue 3, July 2019, Pages 255–369",July,2019,Original article,M,Reviewer Acknowledgement,https://academic.oup.com/hcr/article/45/3/366/5499188,10.1093/hcr/hqz006,366–369,,,https://sci-hub.se/10.1093/hcr/hqz006
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, June 2019, Pages 167–304",June,2019,Original Articles,R,“Not for Lazy Moms”: The Real Housewives of Potomac’s Monique Samuels and the Branding of Black Motherhood,https://academic.oup.com/ccc/article/12/2/268/5448910,10.1093/ccc/tcz015,268–286,"This article explores how Monique Samuels’s role in The Real Housewives of Potomac (TRHOP) and in her Not For Lazy Moms (NFLM) branded spaces, works both for and against the new momism to make visible black women’s experiences navigating essentialism, choice, and the identity work of black motherhood. Samuels’s positionality as a black woman leveraging her essential oils storyline into building a brand for herself brings the franchise into new cultural terrain: “the new momism.” Douglas and Michaels (2004) describe the new momism as a celebration of motherhood that encourages agency and autonomy but ultimately centers on intense devotion to childrearing. Samuels’s TRHOP storylines and extratextual self-fashioning deploy the tenets of the new momism and disrupt its inherent white supremacy to authenticate her identity through essential oils as a wellness commodity and curate an affective space for black women with her NFLM lifestyle brand.",1,https://sci-hub.se/10.1093/ccc/tcz015
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/24/2?browseBy=volume,Volume 24,Issue 2,"Issue 2, March 2019, Pages 53–89",March,2019,Research Articles,M,Editor’s Note: Thank You to Reviewers,https://academic.oup.com/jcmc/article/24/2/53/5361987,10.1093/jcmc/zmz001,,,,https://sci-hub.se/10.1093/jcmc/zmz001
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/24/5?browseBy=volume,Volume 24,Issue 5,"Issue 5, September 2019, Pages 205–273",September,2019,Articles,R,Digital Communication Media Use and Psychological Well-Being: A Meta-Analysis,https://academic.oup.com/jcmc/article/24/5/259/5583692,10.1093/jcmc/zmz013,,"The puzzle of whether digital media are improving or harming psychological well-being has been plaguing researchers and the public for decades. Derived from media richness theory, this study proposed that phone calls and texting improve well-being, while use of social network sites (SNSs), instant messaging (IM), and online gaming may displace other social contacts and, thereby, impair well-being. To test this hypothesis, a meta-analysis of 124 studies was conducted. The results showed that phone calls and texting were positively correlated with well-being, whereas online gaming was negatively associated with well-being. Furthermore, the relationship between digital media use and well-being was also contingent upon the way the technology was used. A series of meta-analyses of different types of SNS use and well-being was used to elucidate this point: interaction, self-presentation, and entertainment on SNSs were associated with better well-being, whereas consuming SNSs’ content was associated with poorer well-being.",1,https://sci-hub.se/10.1093/jcmc/zmz013
Journal of Communication,https://academic.oup.com/joc/issue/69/6?browseBy=volume,Volume 69,Issue 6,"Issue 6, December 2019, Pages 563–719",December,2019,Original Articles,R,Why Won’t You Answer the Question? Mass-Mediated Deception Detection After Journalists’ Accusations of Politicians’ Evasion,https://academic.oup.com/joc/article/69/6/674/5671614,10.1093/joc/jqz036,674–695,"Journalists often accuse politicians of dodging questions. Truth-default theory (TDT) predicts that when journalists serve as de facto deception detectors, the audience will process the messaging through a cognitive sequence that lowers the perceived trustworthiness of the politician. Conversely, the public’s perception of the media as being generally hostile and biased in their reporting could make a journalist’s allegation of evasion enhance the politician’s credibility. We constructed political TV interviews in which a journalist falsely accused a politician of evasiveness. Consistent with serial multiple mediation as proposed by TDT, in Study 1 (N = 210 U.S. voters) a journalist’s allegation triggered suspicion, which increased perceived dodging, resulting in voters distrusting the politician. Absent a journalist’s allegation, however, people remained in their truth-default state toward the politician. Study 2 (N = 429) replicated the Study 1 results, and conditional process modeling revealed that the effect was moderated by rumination.",1,https://sci-hub.se/10.1093/joc/jqz036
Journal of Communication,https://academic.oup.com/joc/issue/69/5?browseBy=volume,Volume 69,Issue 5,"Issue 5, October 2019, Pages 443–562",October,2019,Articles,R,Social Media Engagement With Strategy- and Issue-Framed Political News,https://academic.oup.com/joc/article/69/5/443/5602534,10.1093/joc/jqz029,443–466,"Issue and strategy frames, oft-used ways of conveying political news, affect people’s political beliefs and attitudes, with strategic news frames producing greater cynicism and distrust than issue frames. Although some past research suggests that audiences prefer strategically framed news, it is not clear whether the public gravitates toward issue or strategy frames on social media. We partnered with a national news organization to conduct 48 tests of whether people more frequently clicked on, commented on, or reacted to strategy- or issue-based news. On Facebook, people were randomly shown different versions of posts about a news article, resulting in 967,260 impressions. Using meta-analytic techniques, we found significant heterogeneity across the tests. Overall, however, strategy-based news yielded more clicks, whereas issue-based news yielded more comments and reactions. The results were not moderated by whether the test mentioned a salient issue or the number of days until the election.",1,https://sci-hub.se/10.1093/joc/jqz029
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/24/6?browseBy=volume,Volume 24,Issue 6,"Issue 6, November 2019, Pages 275–353",November,2019,Articles,R,Switching Schemas: Do Effects of Mindless Interactions With Agents Carry Over to Humans and Vice Versa?,https://academic.oup.com/jcmc/article/24/6/335/5626014,10.1093/jcmc/zmz016,,"The Revised Ethopoeia Concept proposes that agents should activate human schema in the form of social expectations and rules. However, studies have demonstrated inconsistent reactions to agents and avatars, potentially due to the activation of a nonhuman schema that constrains people’s ability to mentally connect with agents. We first examined whether the schema activated during agent or avatar game play were consistent with and influenced a subsequent interaction with a human. Results suggested that schemas activated across consecutive interactions with an agent and then a human were incongruent, while avatars successfully influenced subsequent interactions with humans (i.e., prosocial behaviors) by evoking congruent schemas. A second experiment corroborated this by demonstrating a match between schemas activated during game play with agents and subsequent interactions with another human-like but nonhuman entity (i.e., artificial intelligence). Additional results and implications related to switching schemas in consecutive interactions with agents and humans are discussed.",1,https://sci-hub.se/10.1093/jcmc/zmz016
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/1?browseBy=volume,Volume 12,Issue 1,"Issue 1, March 2019, Pages 1–165",March,2019,Original Articles,R,"A Shoppable Life: Performance, Selfhood, and Influence in the Social Media Storefront",https://academic.oup.com/ccc/article/12/1/18/5365566,10.1093/ccc/tcz004,18–35,"This article develops a critical analysis of Instagram’s influencer economy by introducing and unpacking a phenomenon we call shoppable life. The term shoppable life is intended to capture the ideas that: (a) social media users perform lifestyles whose constituent elements can be bought; and (b) sociality increasingly unfolds within platforms that encode marketplace logics and capacities into their designs. Drawing on literatures about consumer culture, celebrity, and digital labor; interviews with 25 participants in Instagram’s influencer economy; and industry texts, we elucidate the power dynamics and contradictions manifested in constructing a shoppable life. We emphasize how social media users navigate the imperative to produce an “authentic” but branded and monetizable self, the personal risk they bear in doing so, and the stakeholders who mediate and profit from these productions. We also highlight conceptual points of entry for critical attention to the logic of shoppability, which increasingly pervades spaces and cultures.",1,https://sci-hub.se/10.1093/ccc/tcz004
Human Communication Research,https://academic.oup.com/hcr/issue/45/2?browseBy=volume,Volume 45,Issue 2,"Issue 2, April 2019, Pages 119–254",April,2019,Original article,R,Constantly Connected: The Role of Parental Mediation Styles and Self-Regulation in Pre- and Early Adolescents’ Problematic Mobile Device Use,https://academic.oup.com/hcr/article/45/2/119/5144986,10.1093/hcr/hqy015,119–147,"Despite rising adoption rates of mobile devices, few studies have investigated the effectiveness of parental mediation in addressing children’s mobile media use. The current study aimed to fill this gap by examining parental mediation styles in relation to problematic smartphone and tablet use among pre- and early adolescents. Moreover, in line with self-determination theory, we expected autonomy-supportive mediation to increase children’s internalization of parental messages, resulting in elevated self-regulation. Results of two cross-sectional surveys showed that autonomy-supportive, restrictive mediation was directly, negatively related to problematic use. However, this relationship was not mediated through self-regulation. Conversely, controlling and inconsistent mediation styles were generally indirectly associated with more problematic use via emotional and behavioral self-regulation.",1,https://sci-hub.se/10.1093/hcr/hqy015
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, December 2019, Pages 435–609",December,2019,Articles,R,Bugs: Rethinking the History of Computing,https://academic.oup.com/ccc/article/12/4/476/5628040,10.1093/ccc/tcz039,476–498,"This paper argues that scholars of computing, networks, and infrastructures must reckon with the inseparability of “viral” discourses in the 1990s. This co-assembled history documents the reliance on viral analogies and explanations honed in the HIV/AIDS crisis and its massive loss of life, widespread institutional neglect, and comprehensive technological failures. As the 1990s marked a period of intense domestication of computing technologies in the global North, we document how public figures, computer experts, activists, academics, and artists used the intertwined discourses surrounding HIV and new computer technologies to explicate the risks of vulnerability in complex, networked systems. The efficacy of HIV as an analogy is visible in the circulation of viral concepts, fears surrounding interdependence, and emergent descriptions of precarity in the face of a widespread “infrastructure crisis.” Through an analysis of this decade, we show how HIV/AIDS discourses indelibly marked the domestication of computing, computer networks, and nested, digitized infrastructures.",1,https://sci-hub.se/10.1093/ccc/tcz039
Journal of Communication,https://academic.oup.com/joc/issue/69/6?browseBy=volume,Volume 69,Issue 6,"Issue 6, December 2019, Pages 563–719",December,2019,Original Articles,R,The Combined Effects of Mass Media and Social Media on Political Perceptions and Preferences,https://academic.oup.com/joc/article/69/6/650/5681988,10.1093/joc/jqz038,650–673,"Changes in political perceptions and preferences may result from the combined effects of news from various media. Estimating these combined effects requires the best possible, albeit different, measures of news obtained from self-selected mass media and social media that can be linked to panel survey data concerning perceptions and preferences. For the 2017 Dutch national elections, such data is available. Political perceptions and preferences are affected by news statements in self-selected mass media on issue positions, support and criticism, real world conditions and success and failure, in accordance with the theories on agenda setting and issue ownership, social identity, retrospective voting and bandwagon effects, respectively. Combined effects emerge because many people use both mass media and social media. The latter do more than just reinforce predispositions. Social media also have a mere exposure effect, and a multistep flow effect that amplifies news about party successes and failures from self-selected mass media.",1,https://sci-hub.se/10.1093/joc/jqz038
Communication Theory,https://academic.oup.com/ct/issue/29/2?browseBy=volume,Volume 29,Issue 2,"Issue 2, May 2019, Pages 129–256",May,2019,ORIGINAL ARTICLE,R,Polarizing Communication as Media Effects on Antagonists. Understanding Communication in Conflicts in Digital Media Societies,https://academic.oup.com/ct/article/29/2/213/5105702,10.1093/ct/qty022,213–235,"In many democracies, political discourse has polarized and become more confrontational. This discourse is shaped by few highly visible activists who are also heavy news consumers. This article proposes to investigate media effects on opinion-leading antagonists’ communication in political controversies. Integrating several media psychological mechanisms, it proposes that antagonists watch mainstream news on their cause closely and perceive it as hostile. By way of triggering certain cognitive, emotional and behavioral reactions, the hostile media perceptions encourage antagonists to intensify their discursive participation and to use polarizing communication styles, such as exaggerations, incivility or lies. The basic claim is that effects of mainstream news on antagonists’ communication can explain the polarization of political controversies in digital societies.",1,https://sci-hub.se/10.1093/ct/qty022
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, December 2019, Pages 435–609",December,2019,Articles,R,The Mutual Domestication of Users and Algorithmic Recommendations on Netflix,https://academic.oup.com/ccc/article/12/4/499/5560017,10.1093/ccc/tcz025,499–518,"This article examines the mutual domestication of users and recommendation algorithms on Netflix. Based on 25 interviews with users and an inductive analysis of their practices and profiles on the platform, we discuss five dynamics through which this mutual domestication occurs: personalization, or the ways in which individualized relationships between users and the platform are built; how algorithmic recommendations are integrated into a matrix of cultural codes; the rituals through which they are incorporated into spatial and temporal processes in daily life; the resistance to various aspects of Netflix as a form to enact agency; and the conversion or transformation of the private consumption of the platform into a public issue. The conclusion elaborates on the theoretical and analytical implications of this approach, to rethink the relationship between algorithms and culture.",1,https://sci-hub.se/10.1093/ccc/tcz025
Human Communication Research,https://academic.oup.com/hcr/issue/45/1?browseBy=volume,Volume 45,Issue 1,"Issue 1, January 2019, Pages 1–118",January,2019,Original article,R,Solidarity Effects in Social Movement Messaging: How Cueing Dominant Group Identity Can Increase Movement Support,https://academic.oup.com/hcr/article/45/1/1/5062562,10.1093/hcr/hqy011,1–26,"Despite the historical importance of dominant group solidarity with movements for social justice, little empirical work has examined how the social identity of movement supporters influences the persuasiveness of their social movement messages. Across two experiments, we manipulated the group identity (White, Black, or anonymous) of a speaker in a message supporting the #BlackLivesMatter movement to examine its effects on White Americans’ perceptions of the speaker and their ultimate support for the movement. Results indicated that identity cues affected evaluations of the speaker (Study 1), and that these evaluations, in turn, mediated the effects of identity cues on attitudes toward the social movement (Study 2). Among White participants, White speakers were evaluated (a) more favorably in general than anonymous speakers, and (b) as less racist than both Black and anonymous speakers. Such evaluations were ultimately associated with increased support for #BlackLivesMatter. Implications of solidarity effects in social movement messaging are discussed.",1,https://sci-hub.se/10.1093/hcr/hqy011
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/1?browseBy=volume,Volume 12,Issue 1,"Issue 1, March 2019, Pages 1–165",March,2019,Original Articles,R,A City by the Sea: Uncovering Beirut's Media Waste,https://academic.oup.com/ccc/article/12/1/53/5403267,10.1093/ccc/tcz011,53–71,"What kinds of social, cultural, and political narratives emerge when we pay attention to how media are physically rendered as trash? By reducing media to their material forms and tracing their journey from use to disuse, the stories behind media activism start to appear. This article studies where Beirut’s media waste goes and who brings it there. A women-only beach, a refugee camp from the early 20th century, and some of the most vulnerable populations in Lebanon all exist alongside Beirut’s trash. They are part of the story of media in the Arab world because media are waste. While media activism in the Arab world is often marked by the visibility of bodies in protest, media waste in Lebanon is governed by a politics of invisibility that covers and hides the very social problems that media activism seeks to address.",1,https://sci-hub.se/10.1093/ccc/tcz011
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, June 2019, Pages 167–304",June,2019,Original Articles,R,Too Close for Comfort: Direct Address and the Affective Pull of the Confessional Comic Woman in Chewing Gum and Fleabag,https://academic.oup.com/ccc/article/12/2/194/5448909,10.1093/ccc/tcz014,194–212,"The 2010s saw a boom in television comedies, created by, written, and starring women, that explored the bawdy and chaotic lives of protagonists who were experiencing some form of arrested development. These comedies sought to build intimate connections with their imagined audiences by crossing boundaries—social, bodily, and physical—to produce comedies of discomfort. Drawing in part on Rebecca Wanzo’s consideration of “precarious-girl comedy” (2016) I examine how two British television comedies intensified these intimate connections through the use of direct address, binding the audience tightly to the sexual and social misadventures of their twenty-something female protagonists. Michaela Coel’s Chewing Gum (E4, 2015–2017) follows naïve and desperately horny black working-class Londoner Tracey in her quest for sexual experience, and Phoebe-Waller Bridges’ Fleabag (BBC Three, 2016–) documents an unnamed upper-middle-class white woman’s sharply misanthropic journey through grief. In both programmes direct address serves to intensify the embrace of bodily affect and intimate access to interiority found in the “precarious-girl comedy” (Wanzo, 2016), producing moments of comic and emotional repulsion. Each program uses direct address’s blend of directness and distance to different ends, but both draw audiences at times uncomfortably close to the singular perspective of their protagonists, creating an intensely affective comic intimacy.",1,https://sci-hub.se/10.1093/ccc/tcz014
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/24/2?browseBy=volume,Volume 24,Issue 2,"Issue 2, March 2019, Pages 53–89",March,2019,Research Articles,R,Deaf and Hard of Hearing Smartphone Users: Intersectionality and the Penetration of Ableist Communication Norms,https://academic.oup.com/jcmc/article/24/2/56/5299215,10.1093/jcmc/zmy024,,"This article shows how smartphone usage among deaf and hard of hearing (HoH) people is shaped by “normative” communication values, and how smartphones, despite seeming accessible, can reproduce hegemonic communicative norms. Qualitative analysis of in-depth interviews conducted in Israel shows that social norms of voice calls impact other smartphone interactions, such that people who cannot perform voice calls are required to obey vocal norms of immediacy even while interacting accessibly through text-based instant messaging (IM) apps or video calls. Drawing on critical disability studies, we show how deaf and HoH smartphone users’ communicative practices vary according to the intersections of their audiological status with other stigmatized positions, which has profound implications for our understanding of media accessibility.",1,https://sci-hub.se/10.1093/jcmc/zmy024
Journal of Communication,https://academic.oup.com/joc/issue/69/2?browseBy=volume,Volume 69,Issue 2,"Issue 2, April 2019, Pages 121–236",April,2019,Original Articles,R,Child’s Play? Assessing the Bidirectional Longitudinal Relationship between Gaming and Intelligence in Early Childhood,https://academic.oup.com/joc/article/69/2/124/5365444,10.1093/joc/jqz003,124–143,,0,https://sci-hub.se/10.1093/joc/jqz003
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, June 2019, Pages 167–304",June,2019,Original Articles,R,The Pleasure Principle of Magic Mike XXL: Sonic Visibility Toward Female Audiences,https://academic.oup.com/ccc/article/12/2/230/5498581,10.1093/ccc/tcz018,230–246,"A key difference between Magic Mike (2012) and Magic Mike XXL (MMXL, 2015) is the latter films narrative shift toward the viewing experience of its targeted female audience. The hyper-lean storyline that streamlined all the indulgences of Steven Soderbergh’s original transformed the franchise into a spectacle for women. The goal of this article, then, is to examine how MMXXL’s sonic and visual structures create the resonance that then translates to pleasure and a more holistic kind of representation for female viewers. By exploring how this film deploys not only the visual cues of beautiful male bodies to create bodily responses in its largely female audience but also querying how the sound cues create sonic visibility, I aim to illustrate how MMXXL enables women viewers from a cross section of intersectional identities the opportunity to not only feel seen but also desired.",1,https://sci-hub.se/10.1093/ccc/tcz018
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, September 2019, Pages 305–434",September,2019,Articles,R,"Hollywood in the Hinterland: Newspapers, Itinerant Films and Community Identity in the 1920s",https://academic.oup.com/ccc/article/12/3/378/5476015,10.1093/ccc/tcz016,378–396,"Itinerant films represented a substantial media and cultural phenomenon during the first half of the 20th century, and provided a localized form of a mass culture product. Through an analysis of archival materials and newspaper accounts related to the production of 11 itinerant movies filmed in the Midwestern United States in the 1920s, this article examines the relationship between the itinerant films and community newspapers. By supporting these productions, these newspapers used a relatively new communication technology as a way to solidify their civic position. They helped create an intensely local product featuring recognizable landmarks, businesses and people that offered readers a way to combat the loss of community and place in an increasingly networked society.",1,https://sci-hub.se/10.1093/ccc/tcz016
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, December 2019, Pages 435–609",December,2019,Articles,R,"Neoliberalism, the Far Right, and the Disparaging of “Social Justice Warriors”",https://academic.oup.com/ccc/article/12/4/455/5643757,10.1093/ccc/tcz040,455–475,"This paper examines the cultural politics of a conjunctural moment where the terms of neoliberal hegemony have been destabilized and the far right has been reinvigorated. Instead of simply assuming the “end” of neoliberalism, I explore the potential ideological and communicative affinities between neoliberal political rationality and online media practices that exemplify the emboldening of racist, misogynistic, and authoritarian discourses. I ground the argument by examining how the notion of social justice has been articulated in two distinct contexts: in disparaging representations of “social justice warriors” that originally circulated in “alt-right” sub-cultures, but which have since been increasingly mainstreamed, and in the critique of social justice formulated by the neoliberal theorist Friedrich Hayek. After clarifying my core argument about neoliberalism and the far right, I end by reflecting on how the figure of the social justice warrior has also been a site of intra-left antagonisms.",1,https://sci-hub.se/10.1093/ccc/tcz040
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/12/3?browseBy=volume,Volume 12,Issue 3,"Issue 3, September 2019, Pages 305–434",September,2019,Articles,M,"Corrigendum to “A Shoppable Life: Performance, Selfhood, and Influence in the Social Media Storefront”",https://academic.oup.com/ccc/article/12/3/434/5485091,10.1093/ccc/tcz022,434,,,https://sci-hub.se/10.1093/ccc/tcz022
Communication Theory,https://academic.oup.com/ct/issue/29/2?browseBy=volume,Volume 29,Issue 2,"Issue 2, May 2019, Pages 129–256",May,2019,ORIGINAL ARTICLE,R,"Contextual Materialism: Mereology, Sociality and the Vague Ontology of Media Objects",https://academic.oup.com/ct/article/29/2/151/5298774,10.1093/ct/qty034,151–168,"This article engages media ontology through explorations of mereology—the study of the relationship between parts and wholes—and a focus on “vague objects.” I begin by reviewing philosophical discussions of vague objects and mereological composition and then move on to postulate a more uniquely media mereology. In contrast to recent work in object oriented ontology (OOO), I argue that it is precisely the social—and, in fact, the mediated—that allows vague objects to be comprehended as meaningful components of everyday experience. Developing this insight, I suggest a specifically communicative theory of media materialism that is concerned with the ontological being of media objects, including their physical properties, but that does not abandon these objects’ deeply social elements.",1,https://sci-hub.se/10.1093/ct/qty034
Communication Theory,https://academic.oup.com/ct/issue/29/3?browseBy=volume,Volume 29,Issue 3,"Issue 3, August 2019, Pages 169–382",August,2019,Original Articles,R,The Role of Construal Level in Message Effects Research: A Review and Future Directions,https://academic.oup.com/ct/article/29/3/319/5239661,10.1093/ct/qty030,319–338,"Construal level theory is a recent psychological theory that examines the relationship between psychological distance and mental construal. However, the theory’s implications for message effects research requires more attention. Construal level theory can guide new hypotheses that test the persuasiveness of certain combinations of message features and tailoring messages to different individual orientations. This is possible as the theory may reveal underlying similarities across disparate message topics, design elements, and message processing styles. Core principles of construal level theory are explicated, and message effects research areas that may benefit from its propositions are reviewed and elaborated upon. Finally, caveats of applying the theory to message effects research and future directions are discussed.",1,https://sci-hub.se/10.1093/ct/qty030
Journal of Communication,https://academic.oup.com/joc/issue/69/3?browseBy=volume,Volume 69,Issue 3,"Issue 3, June 2019, Pages 237–343",June,2019,Original articles,R,"Endure, Invest, Ignore: How French and American Journalists React to Economic Constraints and Technological Transformations",https://academic.oup.com/joc/article/69/3/320/5487115,10.1093/joc/jqz015,320–343,"This paper explores journalists’ reactions to economic constraints and technological transformations in two cities: Toulouse, France, and Seattle, United States. Through semi-structured interviews, we show that journalists in both places either endure these conditions, invest in them as professional opportunities, or ignore them altogether. Drawing on Bourdieu, we argue that these distinct responses are shaped in part by a journalist’s position in the field: those in low positions tend to endure; those in intermediate positions generally invest; and those in high positions are likely to ignore. We also suggest that the meanings of these responses vary according to the distinctive fields in which journalists are embedded, with the reactions of Toulouse journalists generally less market-oriented than their Seattle counterparts. These findings, and the theoretical perspective that enables them, are positioned in relation to case studies that analyze journalists’ reactions and comparative survey research that explores similarities and differences in such reactions.",1,https://sci-hub.se/10.1093/joc/jqz015
