authorIndex,doi,year,journal,authorPosition,countrypred,genderpred,racepred,afftypepred
3204,zodarkezyffyluatgwuo,1959,Journal of Communication,1.0,US,M,White,Education
3205,hpcsoomcvivyspdbocxh,2009,Journal of Communication,5.0,US,F,White,Education
3206,mkqlyqntlqmypzpkzrch,2018,Journal of Communication,2.0,US,M,White,Education
3207,ihwlageqhdhgbzniefzw,2016,Journal of Communication,1.0,US,M,White,Education
3208,zjmklllctgokrdzaoklw,1984,Human Communication Research,1.0,US,F,White,Education
3209,dbyjbvbcdmutmzfexaqw,2011,Journal of Communication,3.0,US,F,White,Education
3210,ivxxtwhlnwbwkvvzffbd,1989,Journal of Communication,3.0,US,F,White,Education
3211,hnnwqaujxmiawjgbkeax,2008,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3212,ergyaubwobwxmmitwzps,2013,Journal of Communication,3.0,US,F,Asian,Education
3213,zkosizcayxiaevcqgcir,1995,Journal of Computer-Mediated Communication,2.0,US,M,Asian,Education
3214,guvuksewfspqehswrphi,2020,Human Communication Research,4.0,US,M,White,Education
3215,rcnjiaorfjtrppwgvopo,2020,Journal of Communication,1.0,US,F,Asian,Education
3216,afoneyjeteaqtskyhvbr,2014,Journal of Communication,4.0,US,M,White,Education
3217,tkrvvvwmljvlossqekpp,2018,Journal of Communication,2.0,US,F,White,Education
3218,olkqbiyeyfkxnrkdykwd,1993,Human Communication Research,3.0,US,F,White,Education
3219,autacsdundichidojklc,2010,"Communication, Culture and Critique",1.0,US,F,Asian,Education
3220,kooxeruvhosoroyuwcvq,2002,Human Communication Research,1.0,CA,M,White,Education
3221,sowcqkgbayppputoxuoy,2009,Journal of Communication,3.0,US,M,White,Education
3222,hgkkdysegksihrprkvdj,2015,Journal of Communication,2.0,US,F,Asian,Education
3223,gmgocdfwvumzvhoznrsk,2006,Human Communication Research,1.0,US,M,White,Education
3224,eaxkycpkxxqybqiqkoow,2002,Journal of Communication,5.0,US,F,White,Education
3225,qutggjxidcqwkrllgakn,2011,"Communication, Culture and Critique",2.0,US,F,White,Education
3226,kbekfeoyorxcpjlovxvx,1977,Human Communication Research,1.0,US,M,White,Education
3227,dxqekbjbevazvyupbsig,2014,Journal of Computer-Mediated Communication,4.0,US,M,White,Education
3228,ehvxziuujegduksqxmqu,1971,Journal of Communication,1.0,US,M,White,Non Education
3229,yipbawwygijioboazxkd,1987,Human Communication Research,1.0,US,M,White,Education
3230,kwrvhislmkbpddcfjshy,2003,Human Communication Research,2.0,US,M,White,Education
3231,fmjisljrrbhftbvxnivg,2007,Journal of Communication,8.0,US,M,White,Education
3232,rdqobcqpaxadxeaxsuck,2011,Human Communication Research,2.0,BE,M,White,Education
3233,zhremvsjpyyyrhqzrahl,1981,Human Communication Research,1.0,CA,F,White,Education
3234,ncwjzjfldqnbnmywvyij,1981,Journal of Communication,3.0,US,F,White,Education
3235,mhchmyhghahucdqhqxru,2017,Journal of Communication,1.0,US,M,White,Education
3236,igqyvbilujzbdtgogrod,2003,Journal of Computer-Mediated Communication,1.0,NL,M,White,Non Education
3237,ranrbssnkyxeelmrgany,2021,"Communication, Culture and Critique",1.0,US,F,Hispanic,Education
3238,fhbknqwtczgpnhifqzoq,2022,Human Communication Research,3.0,US,M,White,Education
3239,fqbqjtgzcqjyaywsgpzr,1998,Journal of Computer-Mediated Communication,5.0,US,F,White,Education
3240,yxxfvpimrscuygfhwlnm,2008,Journal of Communication,3.0,US,M,White,Education
3241,zvqaznxvnkctosodmphr,2020,Journal of Computer-Mediated Communication,2.0,TW,F,Asian,Education
3242,bgmbozsbuxohjovjbuim,2015,Journal of Communication,1.0,US,M,White,Education
3243,rrrducguhhfwsdqmzqui,2018,Communication Theory,1.0,DE,F,White,Education
3244,qcltnqoxqqhymdsxqkdt,1995,Human Communication Research,1.0,US,F,White,Education
3245,amdlufdjwdcxpdoskhwt,1999,Journal of Communication,2.0,US,M,White,Non Education
3246,pngczuxtrhteswypdxfe,1979,Human Communication Research,1.0,US,M,White,Education
3247,eohecknggepvzqghmiuo,1981,Journal of Communication,3.0,US,M,White,Education
3248,hlmyszdeeuyioxinxpkk,2011,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
3249,kbijltxfxvdsvczvbvtv,2012,Journal of Communication,2.0,US,M,White,Education
3250,yxpbicoffnbnghldjmpc,1995,Journal of Communication,1.0,US,M,White,Education
3251,kaucmhrcobocziohnyiw,2021,Journal of Communication,2.0,BR,M,Hispanic,Education
3252,vbleobzzivkxueqdkyol,2011,Journal of Communication,3.0,US,F,Asian,Education
3253,otkvoibguxwsahkzxrom,1969,Journal of Communication,1.0,US,M,White,Education
3254,gqetrmftllkfnfnqwuyl,2021,Journal of Communication,7.0,IL,F,White,Education
3255,zesquelsfezmlohgtzbt,1993,Communication Theory,1.0,US,M,White,Education
3256,dboaadduugkseqpdoesc,1975,Journal of Communication,1.0,US,M,White,Education
3257,uxqondexeukzjozdnvox,1995,Human Communication Research,2.0,US,M,White,Education
3258,eijfunqftwhvmgkurzlm,1985,Human Communication Research,5.0,US,F,White,Education
3259,giuwvezeoiiwuotbviwz,1986,Journal of Communication,1.0,US,M,White,Education
3260,hcudabvzevxhxwlllxgv,1979,Journal of Communication,1.0,US,M,White,Education
3261,geoxpqiapihbrnhsrbdf,1986,Human Communication Research,1.0,US,M,White,Education
3262,yrkmncisuumchqixdodm,2003,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
3263,ryrzdubhnzbfdxmqalqr,1983,Human Communication Research,2.0,US,F,White,Education
3264,wxbnflrisabugwkdgngc,2013,Journal of Computer-Mediated Communication,1.0,CH,M,White,Education
3265,snsufokszvjvweoypmmg,2012,Journal of Communication,2.0,NO,M,White,Non Education
3266,kfdoadvwbzaikxgzvuxj,2013,Human Communication Research,3.0,US,F,Asian,Education
3267,ahazcllbmoohnqnuruvp,2018,Journal of Communication,2.0,US,M,White,Education
3268,xqsgyzersohkqrtstghd,2002,Journal of Communication,4.0,US,M,White,Education
3269,otwpunksrtompvnbwkli,2002,Journal of Computer-Mediated Communication,2.0,NL,M,White,Non Education
3270,vniwhxwdycqbcnvagrnh,2014,Journal of Computer-Mediated Communication,1.0,US,F,Asian,Education
3271,gzocxhkjskwbihkblbmz,2014,Journal of Communication,1.0,US,M,White,Education
3272,ufvqajohqysnrdzrzwhi,2001,Human Communication Research,2.0,US,F,White,Education
3273,pwrsjradokwqosnuhadp,1969,Journal of Communication,1.0,US,M,White,Education
3274,okfxdoesvllmizkxrwhm,2013,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
3275,ohbktscqbvthhxkhsouy,1985,Human Communication Research,1.0,US,F,White,Education
3276,zbbfdgfqpqjivlsexxsz,2005,Journal of Computer-Mediated Communication,11.0,US,M,White,Education
3277,cylfvnyojsefecoskuny,2016,Journal of Communication,1.0,GB,M,White,Education
3278,dqyjqfyqcoxuoofnvwgk,1976,Journal of Communication,2.0,CA,F,White,Education
3279,nccehgknnonaueupxmdz,2016,Journal of Computer-Mediated Communication,2.0,NL,F,White,Education
3280,wpqahcxkcijfacwmfybt,1993,Journal of Communication,2.0,US,M,White,Education
3281,fckpsaqtszxwnlykguyt,1998,Journal of Communication,1.0,US,M,White,Education
3282,gjqkbjojdbxpgljjhard,1999,Journal of Computer-Mediated Communication,3.0,US,F,White,Education
3283,ahzwfhsdqqvbvhccteby,1983,Journal of Communication,1.0,US,M,White,Education
3284,qjtzccyjqobwfweyfprm,1974,Journal of Communication,3.0,US,M,White,Education
3285,njpxjitpilxouhfihvir,2002,Human Communication Research,1.0,US,M,White,Education
3286,cfhhupdqnbcdnvgnuecd,2011,Journal of Computer-Mediated Communication,2.0,NL,M,White,Education
3287,wkjxyomioqqsdweorxpe,1992,Journal of Communication,1.0,US,M,White,Education
3288,vniwhxwdycqbcnvagrnh,2014,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
3289,fcmyyeynyhiipslwkvms,1977,Journal of Communication,1.0,US,M,White,Education
3290,cshgkwsbwclwpiyursbv,2011,"Communication, Culture and Critique",2.0,CN,M,Asian,Education
3291,yzwcbbqlwbayvsyawtai,2017,Journal of Computer-Mediated Communication,3.0,US,M,White,Education
3292,oidbmbyflalztammbisk,2018,Human Communication Research,3.0,US,M,Asian,Education
3293,nzpvfrrupsnwkavbaqad,2016,Journal of Communication,2.0,US,F,White,Education
3294,xhnkepyeqnatuspgqwco,2021,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3295,xtpwpnqsaqqkmkdwcwoi,2004,Communication Theory,1.0,US,F,White,Education
3296,jolfxodzvacclfiglogr,2000,Human Communication Research,2.0,US,M,White,Education
3297,qwstgvohthssbazyebwf,1981,Human Communication Research,1.0,US,M,White,Education
3298,klnwbjowksotcpslgpwr,2012,Communication Theory,1.0,PH,M,Hispanic,Education
3299,nirpjqoxsunslcmruzwr,1997,Communication Theory,1.0,US,M,White,Education
3300,tlhfcowafgrfdhecjskf,2015,Journal of Computer-Mediated Communication,4.0,US,F,White,Non Education
3301,hvnzihbfzkruhqhdkvvn,2019,Journal of Communication,2.0,CN,M,White,Education
3302,xnulwsgdpjndvkaerktx,2004,Journal of Computer-Mediated Communication,3.0,US,F,Asian,Education
3303,gpkmmxhvcvjamghdkrpg,2005,Journal of Communication,4.0,US,M,Asian,Education
3304,iahipenfzuajsesrattg,2021,Journal of Communication,21.0,US,M,White,Education
3305,iqzxofcaabipoofcxska,1965,Journal of Communication,2.0,US,M,White,Education
3306,hlgqjajyxpdidvdfiybi,1972,Journal of Communication,2.0,US,M,White,Education
3307,tzxtwjafvudchdzkuzan,2020,"Communication, Culture and Critique",1.0,US,M,White,Education
3308,kwuiovvhnofhcuxwqwvn,1977,Human Communication Research,2.0,US,M,White,Education
3309,eijfunqftwhvmgkurzlm,1985,Human Communication Research,2.0,US,M,White,Education
3310,ergtimuqpsyxpuziizts,2019,"Communication, Culture and Critique",1.0,US,F,Asian,Education
3311,ykgfedwqkowstgbwxtsm,2011,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
3312,svqxrgdiemxrllkgenth,2002,Human Communication Research,2.0,US,M,White,Education
3313,zoijagsqnmdyxhrxqxgk,2012,Human Communication Research,1.0,US,M,White,Education
3314,qwhcfierpeciwkmyrfdh,2000,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
3315,vfjptpkueirsfiikffmn,1985,Human Communication Research,1.0,US,M,White,Education
3316,qruulzzrbusvrpeeevak,2004,Human Communication Research,4.0,US,F,White,Education
3317,gaxsmwlqlulggsykgfcr,1997,Human Communication Research,3.0,US,M,White,Education
3318,xntrbqrzhocnhdtwkcys,2015,Journal of Communication,3.0,CH,F,White,Education
3319,crnlvuzjfuaacytgidxn,1982,Journal of Communication,1.0,US,M,White,Education
3320,dmnctarulsrgladexvzr,2002,Human Communication Research,2.0,US,M,White,Education
3321,uwfbapdavtbqclcevupr,2004,Journal of Communication,1.0,US,M,Hispanic,Education
3322,eirirvallwfgqkncybxc,1970,Journal of Communication,1.0,US,M,White,Education
3323,sxzlmyjihokxbnhwkudn,2017,Human Communication Research,2.0,SG,M,Asian,Education
3324,cilpevezzvjilskwxblv,2019,Journal of Computer-Mediated Communication,1.0,NL,F,White,Education
3325,wbbllksafxhrvyxuqfay,2014,Journal of Communication,2.0,US,M,White,Education
3326,auqkgffbwnrytdgduxme,1993,Journal of Communication,1.0,US,F,White,Education
3327,qjtkmhkkxdmtfngialll,1988,Human Communication Research,1.0,US,M,White,Education
3328,nkqrprligvmcctptgygg,2018,Journal of Computer-Mediated Communication,4.0,US,F,Asian,Education
3329,jebysieuoxdgexjbobcy,2007,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
3330,jvaeknlzbwczoetwggmf,2017,Journal of Computer-Mediated Communication,3.0,US,F,Asian,Education
3331,jnrknepzazgawqlsgvjz,1985,Journal of Communication,1.0,IL,M,White,Education
3332,ajudjxcgsnqxngumkelq,2008,Human Communication Research,1.0,DE,M,White,Education
3333,qbkqwhyiosthfkcdrzvv,1991,Journal of Communication,2.0,US,F,Hispanic,Education
3334,mhchmyhghahucdqhqxru,2017,Journal of Communication,7.0,US,F,White,Education
3335,yrvnttsjwjoasedxfsdz,2014,Journal of Communication,2.0,US,M,White,Education
3336,uoqzzgwjsizlqhryqeza,1990,Journal of Communication,2.0,US,M,White,Education
3337,ezqeibjrcomgqieblyrs,2008,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
3338,tpzhoobdnyjkjrlhtqor,2018,"Communication, Culture and Critique",1.0,US,F,Black,Education
3339,jtiwahugtsrjgwieamlx,1983,Human Communication Research,2.0,US,M,White,Education
3340,aodlakcxdnmwxftfcczk,2001,Communication Theory,2.0,US,M,White,Education
3341,vcppkbtksaigcvcxgpjw,1975,Journal of Communication,3.0,US,F,White,Education
3342,ggxyodtevajmxdefwlfl,1992,Human Communication Research,2.0,US,F,White,Education
3343,ixixjkthmozrnhaqngbj,1974,Journal of Communication,1.0,CZ,F,White,Non Education
3344,wbgdxhxsheysligguszy,2014,Journal of Communication,2.0,CH,M,White,Education
3345,nkcuhomwhqjcgbgtwyrk,2010,Journal of Communication,2.0,US,M,White,Education
3346,cvhvdxonjvcqvawdqlfo,2019,Communication Theory,1.0,GB,M,White,Education
3347,dmeiqjeryohrmyvwcsyb,2009,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
3348,erveecttcrcmpwgbjleo,1979,Journal of Communication,1.0,US,M,White,Non Education
3349,rypzvojomopxaweoyrca,1979,Human Communication Research,1.0,US,M,White,Education
3350,bcplkgbarywgwqfdkakd,1979,Human Communication Research,1.0,US,M,White,Education
3351,afhgakflqabqiavniysb,2004,Human Communication Research,2.0,US,M,Black,Education
3352,ttcpfqhzdxwaczixhdbf,2016,Journal of Communication,2.0,NL,M,White,Education
3353,lqmbrwwffurdqakidsxg,1980,Journal of Communication,4.0,US,F,White,Education
3354,iuvktpybafadqrtxngrc,2013,Human Communication Research,1.0,US,M,Asian,Education
3355,srkbkwdkjcdrvxkvkgvi,2014,Journal of Communication,3.0,NL,F,White,Education
3356,qqzmlmrzdswulczlnfmq,2009,Journal of Computer-Mediated Communication,1.0,GB,F,White,Education
3357,eijfunqftwhvmgkurzlm,1985,Human Communication Research,4.0,GB,F,White,Education
3358,cnngaewylfwmgusjlasa,1979,Human Communication Research,3.0,US,M,White,Education
3359,zttjbfoxmbojzkzrlqyw,2022,Journal of Computer-Mediated Communication,1.0,US,F,Asian,Education
3360,pgezstpabjtlqqocppql,2016,Human Communication Research,2.0,US,F,White,Education
3361,szsjwkilkibfkeuqzryx,1987,Journal of Communication,2.0,US,M,White,Education
3362,snihpekxfngtknpxqwqf,2017,Human Communication Research,3.0,BE,F,White,Education
3363,dvrecvqcgodllvgwbyrb,1991,Human Communication Research,2.0,US,M,White,Education
3364,mugfltvrfuqdgwzpsvmw,1977,Journal of Communication,2.0,US,M,White,Education
3365,fbpjpbbyejrsgjukovdg,2006,Journal of Communication,2.0,PH,M,White,Education
3366,bxlwxurkbzwfqjedrulv,2012,Human Communication Research,2.0,NL,M,White,Education
3367,cizrvktbgwwhlypiorzv,2012,Journal of Communication,3.0,NL,M,White,Education
3368,feodpjbserdqesrwqpsa,2011,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
3369,bedcgnfkfugwxljefopn,1978,Journal of Communication,4.0,US,F,White,Education
3370,nvxlksijnbrsiejpbcux,1999,Journal of Communication,1.0,US,M,White,Education
3371,ncvbgiienvjrinfiknqj,1987,Human Communication Research,1.0,US,M,White,Education
3372,mayfehvaayddvwjrgycl,2011,Journal of Communication,2.0,US,F,White,Education
3373,vqaqgigblwagfmlyznen,1975,Journal of Communication,2.0,US,F,White,Education
3374,hwiahyblpixxhmdkfngh,2017,Journal of Communication,1.0,GB,M,White,Education
3375,zejhiixxhsmriuvazwlf,2000,Communication Theory,1.0,US,F,White,Education
3376,smyycvcjolgfwanajhtb,2012,Journal of Communication,2.0,US,F,White,Non Education
3377,alrlfzyrahzgqdfrcfha,2010,Human Communication Research,1.0,PH,M,White,Education
3378,cjjfwiwcdvygmcqusfms,2021,Communication Theory,4.0,SE,M,White,Education
3379,xmwcfldzsnllknqyyuwz,2015,Journal of Communication,4.0,NL,M,White,Education
3380,vnqjrqzffiaeidwfkujm,1998,Journal of Communication,1.0,US,M,White,Education
3381,phvorousgdylamxixrwx,1984,Journal of Communication,1.0,US,M,Hispanic,Education
3382,etzzwyoxfxcvfaemqgth,2012,Journal of Communication,2.0,BE,M,White,Education
3383,traoxspzfxvppygwqikr,2000,Journal of Computer-Mediated Communication,1.0,DE,M,White,Education
3384,jfvnvsllylhevsyaznzl,2021,Journal of Communication,3.0,US,F,White,Education
3385,gyuawlqeevrobzjqtdgn,1980,Human Communication Research,1.0,US,M,White,Non Education
3386,otwpunksrtompvnbwkli,2002,Journal of Computer-Mediated Communication,1.0,NL,M,White,Non Education
3387,uncojdxgkqfczcyzjmjo,2021,Journal of Communication,2.0,US,F,White,Education
3388,bpjnlxuhabglrmdoogwe,2022,Communication Theory,1.0,US,M,White,Non Education
3389,zyeqprgggwnwnimjjzwb,1999,Communication Theory,1.0,US,M,White,Education
3390,yenscwmqnnwjfzutwfph,1972,Journal of Communication,1.0,CZ,F,White,Non Education
3391,eupdiybzcpxfqbujwkbw,1989,Journal of Communication,1.0,US,F,White,Education
3392,llxkhgllhzcnxccmdqei,2011,Journal of Computer-Mediated Communication,4.0,US,M,White,Education
3393,duvcwctnzejduirqemic,1991,Human Communication Research,1.0,US,M,White,Education
3394,nvgoqwhkdkrmepsytzom,2006,Journal of Communication,1.0,US,F,White,Education
3395,pecgskgfqdkbkfonzjes,2007,Human Communication Research,3.0,US,F,White,Education
3396,gjumbtuugibpxluuastc,2016,Human Communication Research,2.0,BE,M,White,Education
3397,bakgfzkhvkyjxdcmfbjl,2018,Journal of Computer-Mediated Communication,7.0,NL,F,White,Education
3398,mesbuphiecsfmygehofk,1977,Journal of Communication,2.0,US,F,White,Non Education
3399,klxsnzomorfdbfvorqhn,2019,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3400,kaucmhrcobocziohnyiw,2021,Journal of Communication,5.0,BR,M,Hispanic,Education
3401,kgamhkcktqubfjepzcmj,2003,Journal of Communication,1.0,US,M,Asian,Education
3402,ybdikbzhizicujmayqge,2020,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3403,zwnplfbjonrfrlqdufrh,2012,Human Communication Research,2.0,SG,M,Hispanic,Non Education
3404,hhoovejeoqjsevvkkdnp,2012,"Communication, Culture and Critique",1.0,GB,M,White,Education
3405,vgvopmmgcrxnzpyjeqmi,1977,Human Communication Research,2.0,PH,M,White,Education
3406,denvlovyyvurskcjqskn,1992,Communication Theory,1.0,US,M,White,Education
3407,lnogofwtmuzawbpxqmnb,2020,Journal of Communication,1.0,AT,M,White,Education
3408,aukkxgdfxuaiytxjewpa,1997,Journal of Communication,1.0,US,M,White,Education
3409,sehjmbhomnxobdflrbob,1988,Human Communication Research,2.0,US,M,White,Education
3410,vjbsohaqturkqixjiqyz,2009,Journal of Computer-Mediated Communication,3.0,EE,F,White,Education
3411,eaxkycpkxxqybqiqkoow,2002,Journal of Communication,6.0,US,F,White,Education
3412,coohpnhyqdtjqcmbsaiu,2021,Journal of Communication,1.0,US,M,White,Education
3413,clmnjesfcrgjykuemxrj,2013,Journal of Communication,1.0,US,M,White,Education
3414,xqyosepijvilykxeohzy,1975,Journal of Communication,3.0,US,M,White,Education
3415,qydqnyqqellycaqcsioe,2019,Human Communication Research,1.0,US,F,Asian,Education
3416,hgsskvmtgstutvxjzkmw,1989,Human Communication Research,3.0,US,F,White,Education
3417,fcgskmlxwegboiqdkzha,1991,Journal of Communication,1.0,TJ,F,White,Education
3418,ztcvipzfaxlsgbmsuuzm,2011,Journal of Communication,1.0,PH,M,White,Education
3419,ulaeexofwdejqbdlhxbu,2016,"Communication, Culture and Critique",2.0,US,F,White,Education
3420,bilwgfxdkjkvkiewexpy,1977,Journal of Communication,1.0,US,M,White,Education
3421,kiilsnqnyljigxomnfof,2021,Journal of Communication,5.0,US,M,White,Education
3422,epimrtbvzrxdqvheokyi,1978,Journal of Communication,2.0,US,M,White,Education
3423,ahazcllbmoohnqnuruvp,2018,Journal of Communication,3.0,US,M,White,Education
3424,jccghyuinwfwdnsujtuz,1965,Journal of Communication,2.0,US,F,White,Education
3425,hhsktfauipeqczgmmnak,2006,Journal of Communication,6.0,US,M,White,Education
3426,hiycqrwvqghwwkjhetlk,2005,Human Communication Research,1.0,US,M,White,Education
3427,sdmgykdmuxxyeswhbsva,2020,Human Communication Research,3.0,US,F,White,Education
3428,izrbhdekxgjowpcemwut,1997,Journal of Communication,4.0,US,F,White,Education
3429,xrbaitqkqlytefqkvfme,2012,Journal of Communication,4.0,US,M,White,Education
3430,xfkkfpffwrifonepacas,2004,Journal of Communication,2.0,US,F,White,Education
3431,zbbfdgfqpqjivlsexxsz,2005,Journal of Computer-Mediated Communication,4.0,US,F,Asian,Education
3432,afloxmdcvrdkucqexjyv,1997,Journal of Communication,1.0,US,M,White,Education
3433,nxbsqvxgiluntrchlmgs,2007,Journal of Computer-Mediated Communication,4.0,US,M,White,Education
3434,umsngptyavvytpewqolf,1978,Journal of Communication,3.0,US,M,White,Education
3435,ofrddzwsimdxllncizjs,2006,Journal of Computer-Mediated Communication,1.0,US,M,Asian,Education
3436,pltkfprsukioqcyvhges,1997,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
3437,jifaonpniuvsicfoqesm,2006,Communication Theory,2.0,US,M,White,Education
3438,ndcdylipmmngbhlzldzj,1999,Journal of Communication,1.0,US,M,White,Education
3439,qryywtytyxaaqbmpmwes,2020,Journal of Communication,3.0,DK,M,Asian,Education
3440,tokieguzaptrjyrgcxwr,1980,Journal of Communication,1.0,UK,M,White,Non Education
3441,qsdvhwyknkqunquxvqep,2018,Human Communication Research,1.0,US,F,White,Education
3442,sbxhgoryzfidbouerhhn,2012,Human Communication Research,5.0,US,F,White,Education
3443,rcgomtqwuwmqjtqjqnsf,1985,Human Communication Research,2.0,US,M,White,Education
3444,bfmvbvudwmuymslrbkhv,1984,Human Communication Research,2.0,US,M,White,Education
3445,muxkrrnqqiupyycnfqcp,2019,Journal of Communication,2.0,US,F,White,Education
3446,ynebsrqvujduwuetexlk,1960,Journal of Communication,1.0,US,M,White,Education
3447,ntljszngnsuwlmkyzaqt,2021,Journal of Communication,5.0,US,F,White,Education
3448,uhyxybsupomrnbsrcbrj,2022,Human Communication Research,2.0,NL,M,White,Education
3449,fwslqiijxolngqcytwpy,1996,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3450,egnstsisgntggphdxnzh,1994,Communication Theory,2.0,US,M,White,Education
3451,qtqbfwsdqwgmijnhelzt,2017,Journal of Communication,2.0,US,F,White,Education
3452,cyjszwfgsjdkikynceun,2020,Human Communication Research,1.0,US,F,Asian,Education
3453,hzvetadsjtrunrxigsyw,2016,Journal of Communication,1.0,DE,M,White,Education
3454,pflmffelzyviiitklcek,2005,Journal of Computer-Mediated Communication,2.0,IL,M,Middle Eastern,Education
3455,bilghulovtjrvofiflmj,2003,Journal of Computer-Mediated Communication,1.0,DK,F,White,Education
3456,ewrswlgsnrfuuzrtcnbw,2011,Human Communication Research,1.0,US,F,Asian,Education
3457,eeemtljgyvtgnnqhpgyx,1968,Journal of Communication,1.0,US,F,White,Non Education
3458,aznmogbixvqyozwavghg,2022,"Communication, Culture and Critique",1.0,CN,F,White,Education
3459,jcisucdgukelbbqovuid,2001,Human Communication Research,2.0,US,M,White,Non Education
3460,ozujukouezkdkiumpygm,1999,Journal of Computer-Mediated Communication,5.0,US,M,White,Education
3461,pkbdmnkhlzgttbufexcn,2002,Journal of Computer-Mediated Communication,1.0,SG,M,Asian,Education
3462,gzgwvzaqrunfmalazbef,2019,Journal of Communication,3.0,NL,M,White,Education
3463,najdkmfzndsimlbggwdf,2018,Journal of Communication,1.0,US,M,Black,Non Education
3464,wimpeeonufmieocoqctn,2008,Communication Theory,3.0,US,M,White,Education
3465,iamvqqlckuacxfehubxo,2000,Human Communication Research,1.0,US,M,White,Education
3466,fuvzmxryhneqqcdzxgbd,2015,Journal of Communication,1.0,US,F,White,Education
3467,yhvopiuovjoqwsscgqhy,2000,Communication Theory,1.0,US,F,White,Education
3468,dupcyakmbqfzcjcragkr,1977,Human Communication Research,1.0,US,M,White,Education
3469,wcpnobzwfbvbfqzdtyou,2016,Human Communication Research,2.0,US,M,White,Education
3470,lptciksmxdnlfcklmfkt,2010,Journal of Computer-Mediated Communication,2.0,US,F,Asian,Education
3471,vbkospwrdgyjllzebphv,2015,Communication Theory,1.0,DE,M,White,Education
3472,zialnrvqyytbeeujmsho,1978,Journal of Communication,1.0,US,M,White,Education
3473,xstfndsdavtreynesqgf,1992,Human Communication Research,1.0,US,M,White,Education
3474,ouggonajfntadfbezwsz,1969,Journal of Communication,2.0,US,M,White,Education
3475,wihqsnotltfnaabnzhea,2013,Journal of Computer-Mediated Communication,2.0,US,M,Asian,Education
3476,rsoxebqyvxofpwiuzanq,2010,"Communication, Culture and Critique",2.0,US,M,White,Education
3477,sgpehkxeqysheiiwdbbu,1975,Human Communication Research,1.0,US,M,White,Education
3478,jifaonpniuvsicfoqesm,2006,Communication Theory,1.0,US,M,White,Education
3479,bangxrcvgfgbitssptqu,2022,Journal of Communication,5.0,US,F,Asian,Education
3480,xexgiwuknrdhlpvwdhtx,2002,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
3481,kofwelwykvwffvddqpsh,2018,Human Communication Research,3.0,NL,M,White,Education
3482,pikqngtrjxjlftkreiit,2010,Journal of Communication,3.0,US,F,White,Education
3483,dpaljbmohfenwuzmycxh,2013,"Communication, Culture and Critique",1.0,US,F,White,Education
3484,pcxfbuqclultnrzqbwwo,2021,Journal of Computer-Mediated Communication,3.0,FI,F,White,Education
3485,nsupzszwnpxitfxdwnzt,1996,Journal of Computer-Mediated Communication,1.0,US,F,White,Non Education
3486,nkqrprligvmcctptgygg,2018,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
3487,pyrpndowwndntvmbdslo,2005,Human Communication Research,2.0,US,M,Asian,Education
3488,dmeiqjeryohrmyvwcsyb,2009,Journal of Computer-Mediated Communication,1.0,US,F,Asian,Education
3489,ecibeyewzaptyvbhlnci,2012,Journal of Communication,1.0,US,F,White,Education
3490,lnwshdnmitzyqlkodxpe,2021,Communication Theory,1.0,US,F,White,Education
3491,zhgducxcfipltkwtwahf,1987,Human Communication Research,1.0,US,M,White,Education
3492,lybaclfuyjbwaebywsyg,2016,Journal of Computer-Mediated Communication,1.0,DE,M,White,Education
3493,nsezexfbibpfmcyxrtvf,2022,Human Communication Research,3.0,NL,M,White,Education
3494,tqjvyvzqymoqstkiscqr,2004,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
3495,cxhaukjhvbsqiclurhvs,2015,"Communication, Culture and Critique",2.0,US,F,White,Education
3496,ljnvjllcilalzdcgumxv,2009,Journal of Communication,2.0,NL,F,White,Education
3497,giiuaxylwpjjjdxbjahd,2020,Journal of Communication,1.0,FR,M,White,Education
3498,rbwlahhoietfcxqebdpv,1975,Human Communication Research,2.0,US,M,White,Education
3499,yfnogpeybjctwwuoxfks,1981,Human Communication Research,2.0,US,M,White,Education
3500,vcunqzqvssnxbcsvuzsn,2012,"Communication, Culture and Critique",1.0,AU,M,White,Education
3501,lgkpgikfynvhjqsphekl,2016,Communication Theory,1.0,US,F,White,Education
3502,tvgpobfkuzlyighvpfwl,2005,Journal of Computer-Mediated Communication,4.0,US,M,Asian,Education
3503,sdmgykdmuxxyeswhbsva,2020,Human Communication Research,1.0,US,F,White,Education
